Sex,Hood,PlantNum,StalkTrt,Color,PollenRemoval,nRows,SumNumFruits,SumAbts,SumDestr,SumDeh,SumSeedNum,SumSeedWeight,FruitsetPerc,ArcsinePerset,SeedsDivSetfruit
F,1,1,HP,black,No,1,1,0,0,0,9,0.0106,1,1.570796327,9
H,1,2,C,black,No,1,1,0,0,0,1,0,1,1.570796327,1
F,1,3,C,black,No,1,1,1,0,0,0,0,0,0,
F,1,3,HP,black,No,1,2,1,0,0,2,0,0.5,0.523598776,2
H,1,3,C,black,No,2,2,2,0,0,0,0,0,0,
H,1,3,HP,black,No,1,5,3,1,0,1,0,0.4,0.411516846,1
F,1,1,C,blue,Yes,2,7,1,0,0,51,0.0549,0.857142857,1.029696801,8.5
F,1,1,HP,blue,Yes,2,9,1,0,0,70,0.0733,0.888888889,1.094914077,8.75
H,1,1,C,blue,Yes,1,3,0,3,0,0,0,1,1.570796327,
F,1,2,C,blue,Yes,1,5,2,1,0,10,0.0115,0.6,0.643501109,5
F,1,2,HP,blue,Yes,1,4,1,0,0,24,0.0272,0.75,0.848062079,8
H,1,2,C,blue,Yes,2,6,1,2,0,21,0.0155,0.833333333,0.985110783,7
H,1,2,HP,blue,Yes,1,2,0,0,0,12,0.0099,1,1.570796327,6
F,1,3,C,blue,Yes,1,3,0,0,0,18,0.0113,1,1.570796327,6
F,1,3,HP,blue,Yes,1,3,0,5,0,18,0.0162,1,1.570796327,-9
H,1,3,C,blue,Yes,3,9,7,0,0,9,0.0098,0.222222222,0.224093092,4.5
H,1,3,HP,blue,Yes,4,9,1,3,0,29,0.0285,0.888888889,1.094914077,5.8
H,1,1,C,green,Yes,1,5,1,0,0,10,0.008,0.8,0.927295218,2.5
H,1,1,HP,green,Yes,1,2,1,0,0,6,0.0057,0.5,0.523598776,6
F,1,3,C,green,Yes,1,1,0,0,0,1,0.0013,1,1.570796327,1
F,1,3,HP,green,Yes,2,6,3,1,0,22,0.0117,0.5,0.523598776,11
H,1,3,C,green,Yes,2,8,3,2,0,10,0.0076,0.625,0.675131533,3.333333333
H,1,3,HP,green,Yes,1,6,2,1,0,13,0.0125,0.666666667,0.729727656,4.333333333
F,1,1,C,pink,Pre,3,20,8,4,0,65,0.0666,0.6,0.643501109,8.125
F,1,1,HP,pink,Pre,2,6,0,0,0,68,0.0752,1,1.570796327,11.33333333
H,1,1,C,pink,Pre,2,6,0,2,0,13,0.0121,1,1.570796327,3.25
H,1,1,HP,pink,Pre,3,8,1,6,0,3,0.0033,0.875,1.065435817,3
F,1,2,C,pink,Pre,2,5,3,0,0,29,0.0131,0.4,0.411516846,14.5
F,1,2,HP,pink,Pre,1,1,1,0,0,0,0,0,0,
H,1,2,C,pink,Pre,5,14,6,5,0,20,0.0046,0.571428571,0.608245579,6.666666667
H,1,2,HP,pink,Pre,3,14,3,4,0,34,0.0236,0.785714286,0.903849982,4.857142857
F,1,3,C,pink,Pre,2,10,6,1,0,9,0,0.4,0.411516846,3
F,1,3,HP,pink,Pre,4,15,5,5,0,23,0.0076,0.666666667,0.729727656,4.6
H,1,3,C,pink,Pre,4,20,11,6,0,35,0.0144,0.45,0.466765339,11.66666667
H,1,3,HP,pink,Pre,2,13,6,3,0,46,0.0271,0.538461538,0.5686103,11.5
F,1,1,C,red,Pre,1,1,0,0,0,2,0,1,1.570796327,2
F,1,1,HP,red,Pre,2,3,2,1,0,0,0,0.333333333,0.339836909,
H,1,2,HP,red,Pre,1,2,1,0,0,5,0.0048,0.5,0.523598776,5
F,1,3,HP,red,Pre,1,2,0,1,0,2,0.0026,1,1.570796327,2
H,1,3,C,red,Pre,2,2,2,0,0,0,0,0,0,
H,1,3,HP,red,Pre,1,3,1,1,0,3,0.0032,0.666666667,0.729727656,3
F,1,1,C,white,NA,1,4,2,0,0,13,0,0.5,0.523598776,6.5
F,1,1,HP,white,No,2,8,0,0,0,28,0.0241,1,1.570796327,3.5
H,1,1,C,white,No,1,3,0,2,0,4,0.004,1,1.570796327,4
F,1,2,C,white,No,1,3,2,0,0,1,0.0015,0.333333333,0.339836909,1
F,1,2,HP,white,No,1,1,1,0,0,0,0,0,0,
H,1,2,C,white,No,3,9,1,2,0,18,0.019,0.888888889,1.094914077,3
H,1,2,HP,white,No,2,3,1,0,0,11,0.0131,0.666666667,0.729727656,5.5
F,1,3,C,white,No,1,1,0,0,0,3,0.0024,1,1.570796327,3
F,1,3,HP,white,No,2,6,2,0,0,7,0.0072,0.666666667,0.729727656,1.75
H,1,3,C,white,No,1,5,2,0,0,7,0.0062,0.6,0.643501109,2.333333333
H,1,3,HP,white,No,2,10,2,1,0,2,0,0.8,0.927295218,0.285714286
F,1,1,C,yellow,Yes,2,7,0,4,0,30,0.0249,1,1.570796327,10
F,1,1,HP,yellow,Yes,4,11,0,5,0,62,0.0582,1,1.570796327,10.33333333
H,1,1,C,yellow,Yes,1,4,0,2,0,41,0.0478,1,1.570796327,20.5
H,1,1,HP,yellow,Yes,2,6,0,2,0,43,0.0491,1,1.570796327,10.75
F,1,2,C,yellow,Yes,2,5,1,2,0,18,0.0203,0.8,0.927295218,9
F,1,2,HP,yellow,Yes,2,14,2,4,0,126,0.1282,0.857142857,1.029696801,15.75
