# Author: P. Alexander Burnham,,,,,,,,,,,
# Date: 26 March 2016,,,,,,,,,,,
#,,,,,,,,,,,
# Data Set: These data are Nosema counts and presence/absence data for 350 2014 Bombus survey bees. Included are %sucrose crop readings, species IDs, Caste IDs, proximity to apis meliffera and host plant.  ,,,,,,,,
# Data Source: These data are my own property ,,,,,,,,,,,
# Funding Source: APLE grant,,,,,,,,,,,
#,,,,,,,,,,,
# Data Collection: Bees were collected during the 2014 field season at 13 different sites in Northern Vermont (for coords see Nosema GIS) Ran vegitation and bee abundance transects, caught bombus and HB were possible. Collected flowering plants and ID'd host plant for captured bombus. Bees were dissected in 2015/2016. Ventriculi were homgenized in GITC buffer (ready for RT-qPCR work in future) and spore counts were done with a hemocytometer (2 counts 1 mean). Percent sucrose in crop was measured where possible (refractometer).,,,,,,,,,,
# Columns: FieldID,"	LabID","	Site (code)","	Caste (ID)"," 	Species (ID)","	Nosema Chamber 1 (count 1)","	Nosema Chamber 2 (count 2)","	NosemaPA (presence absence of parasite (binary))","	NosemaAverage (mean of ch. 1 and ch. 2)"," 	Sucrose (% sucrose in crop)","	Date", HB Proximity(near/far)
# Rows: Data points for all columns in order of lab ID,,,,,,,,,,,
# Missing values: NA ,,,,,,,,,,,
LabID,FieldID,Site,Caste ,Species,Chamber1,Chamber2,NosemaPA,NosemaAverage ,Sucrose,Date,hbPA
1,Robin-19,Robin,Worker,Tern.,0,3,1,1.5,NA,8.2,Near
2,100-4,100,Worker,Tern.,0,0,0,0,NA,8.22,Near
3,OVC-2,OVC,Worker,Vag.,0,0,0,0,NA,8.1,Far
4,OVC-22,OVC,Worker,Imp.,0,0,0,0,NA,8.1,Far
5,Robin-11,Robin,Worker,Tern.,7,5,1,6,NA,8.2,Near
6,OVC-7,OVC,Worker,Vag.,0,0,0,0,33,8.1,Far
7,100-8,100,Worker,Imp.,0,0,0,0,NA,8.22,Near
8,Robin-7,Robin,Worker,Tern.,0,0,0,0,NA,8.2,Near
9,Robin-13,Robin,Worker,Tern.,0,0,0,0,NA,8.2,Near
10,GMC-20,GMC,Worker,Imp.,0,0,0,0,NA,8.2,Far
11,GMC-21,GMC,Worker,Tern.,0,0,0,0,NA,8.2,Far
12,OVC-16,OVC,Worker,Imp.,0,0,0,0,NA,8.1,Far
13,GMC-7,GMC,Male,Bimac.,0,0,1,0,38.5,8.2,Far
14,GMC-5,GMC,Male,Bimac.,0,0,0,0,NA,8.2,Far
15,100-18,100,Worker,Imp.,0,0,0,0,44.5,8.22,Near
16,100-14,100,Worker,Imp.,0,0,1,0,NA,8.22,Near
17,100-16,100,Worker,Imp.,2,4,1,3,40,8.22,Near
18,GMC-3,GMC,Male,Bimac.,1,1,1,1,41.5,8.2,Far
19,OVC-17,OVC,Worker,Vag.,1,2,1,1.5,NA,8.1,Far
20,Robin-16,Robin,Worker,Tern.,0,0,0,0,NA,8.2,Near
21,100-6,100,Worker,Imp.,1,3,1,2,NA,8.22,Near
22,100-9,100,Worker,Imp.,45,49,1,47,NA,8.22,Near
23,100-1,100,Worker,Imp.,0,0,1,0,NA,8.22,Near
24,Robin-1,Robin,Worker,Tern.,0,0,0,0,50,8.2,Near
25,OVC-10,OVC,Worker,Vag.,0,0,0,0,NA,8.1,Far
26,Robin-18,Robin,Worker,Tern.,0,1,1,0.5,NA,8.2,Near
27,Robin-5,Robin,Worker,Tern.,0,0,0,0,NA,8.2,Near
28,OVC-?,OVC,Worker,Vag.,0,0,0,0,NA,8.1,Far
29,Robin-2,Robin,Worker,Vag.,0,0,0,0,NA,8.2,Near
30,GMC-15,GMC,Male,Bimac.,0,0,0,0,NA,8.2,Far
31,Robin-6,Robin,Worker,Tern.,0,0,0,0,NA,8.2,Near
32,Robin-8,Robin,Worker,Tern.,0,0,0,0,NA,8.2,Near
33,100-7,100,Male,Imp.,0,0,1,0,NA,8.22,Near
34,NORD-5,NORD,Worker,Imp.,0,0,0,0,30.5,7.3,Near
35,NORD-7,NORD,Worker,Imp.,1,1,1,1,NA,7.3,Near
36,OVC-20,OVC,Worker,Tern.,0,0,1,0,NA,8.1,Far
37,100-17,100,Worker,Imp.,0,0,0,0,NA,8.22,Near
38,Robin-17,Robin,Worker,Tern.,0,0,0,0,NA,8.2,Near
39,NORD-11,NORD,Worker,Gris. ,0,0,0,0,35,7.3,Near
40,Robin-4,Robin,Worker,Tern.,0,0,0,0,NA,8.2,Near
41,100-20,100,Worker,Imp.,0,0,0,0,NA,8.22,Near
42,NORD-6,NORD,Worker,Imp.,0,0,0,0,NA,7.3,Near
43,NORD-8,NORD,Male,Tern.,0,0,0,0,NA,7.3,Near
44,OVC-19,OVC,Worker,Imp.,0,0,0,0,NA,8.1,Far
45,NORD-2,NORD,Worker,Imp.,1,0,1,0.5,38,7.3,Near
46,GMC-13,GMC,Worker,Tern.,2,2,1,2,52,8.2,Far
47,Robin-21,Robin,Worker,Tern.,0,0,0,0,NA,8.2,Near
48,OVC-9,OVC,Male,Bimac.,49,64,1,56.5,NA,8.1,Far
49,NORD-19,NORD,Worker,Bor.,1,0,1,0.5,43,7.3,Near
50,NORD-22,NORD,Male,Bor.,0,0,0,0,41,7.3,Near
51,OVC-18,OVC,Worker,Imp.,0,0,0,0,38,8.1,Far
