# Experiment File Name : 20170803_Burnham_PlantTrans2_prelimDWVinoc_Run27.eds
# Created By :alexburn17@gmail.com
# Last Modified Date : 2018-08-06 03:25:29 PM
# Instrument Type : StepOnePlus System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","1","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","39.0","false",
"A2","2","DWV","1.327","Amp","UNKNOWN","30.348","30.422","0.105","23.475","22.396","1.525","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","25.0","false",
"A3","3","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","39.0","false",
"A4","4","DWV","1.323","Amp","UNKNOWN","24.600","24.712","0.158","969.895","904.399","92.626","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","19.0","false",
"A5","5","DWV","1.339","Amp","UNKNOWN","30.962","31.305","0.485","15.77","12.944","3.997","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","26.0","false",
"A6","6","DWV","0.0","No Amp","UNKNOWN","Undetermined","34.598","-","1.52891873E10","1.498","-","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","39.0","false",
"A7","7","DWV","1.331","Amp","UNKNOWN","35.362","34.965","0.561","0.914","1.221","0.434","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","30.0","false",
"A8","8","DWV","1.337","Amp","UNKNOWN","29.825","29.835","0.015","32.944","32.719","0.318","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","25.0","false",
"A9","9","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","39.0","false",
"A10","10","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","39.0","false",
"A11","11","DWV","1.338","Amp","UNKNOWN","31.677","31.449","0.322","9.93","11.632","2.406","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","27.0","false",
"A12","12","DWV","1.332","Amp","UNKNOWN","27.668","27.731","0.089","133.062","127.877","7.333","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","23.0","false",
"B1","1","DWV","0.69","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","16.0","false",
