# Experiment File Name : 20180519_PlantTrans2_HowMuchVirusOnPlants2_Run12.eds
# Created By :alexburn17@gmail.com
# Last Modified Date : 2018-05-20 04:52:21 PM
# Instrument Type : StepOnePlus System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","1","DWV","1.316","Amp","UNKNOWN","29.249","29.138","0.261","47.824","51.903","9.123","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","25.0","false",
"A2","2","DWV","1.356","Amp","UNKNOWN","25.045","25.148","0.094","727.187","680.96","41.792","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","20.0","false",
"A3","3","DWV","0.0","No Amp","UNKNOWN","Undetermined","34.525","0.121","1.52891873E10","1.573","0.123","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","39.0","false",
"A4","4","DWV","1.287","Amp","UNKNOWN","32.094","31.345","0.665","7.58","13.032","4.961","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","27.0","false",
"A5","5","DWV","1.345","Amp","UNKNOWN","26.485","26.569","0.234","286.321","273.028","39.684","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","22.0","false",
"A6","6","DWV","1.366","Amp","UNKNOWN","22.945","23.149","0.642","2831.611","2617.256","970.042","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","18.0","false",
"A7","7","DWV","0.0","No Amp","UNKNOWN","Undetermined","35.016","0.557","1.52891873E10","1.181","0.417","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","39.0","false",
"A8","8","DWV","1.275","Amp","UNKNOWN","33.591","33.128","0.792","2.876","4.265","2.386","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","29.0","false",
"A9","G-Block","DWV","1.387","Amp","UNKNOWN","17.263","17.263","-","112081.23","112081.23","-","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","12.0","false",
"B1","1","DWV","1.316","Amp","UNKNOWN","29.325","29.138","0.261","45.531","51.903","9.123","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","25.0","false",
"B2","2","DWV","1.361","Amp","UNKNOWN","25.172","25.148","0.094","669.843","680.96","41.792","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","20.0","false",
"B3","3","DWV","1.201","Amp","UNKNOWN","34.440","34.525","0.121","1.66","1.573","0.123","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","29.0","false",
"B4","4","DWV","1.295","Amp","UNKNOWN","30.821","31.345","0.665","17.281","13.032","4.961","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","26.0","false",
"B5","5","DWV","1.345","Amp","UNKNOWN","26.390","26.569","0.234","304.359","273.028","39.684","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","21.0","false",
"B6","6","DWV","1.34","Amp","UNKNOWN","23.868","23.149","0.642","1557.965","2617.256","970.042","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","19.0","false",
"B7","7","DWV","1.039","Amp","UNKNOWN","34.622","35.016","0.557","1.476","1.181","0.417","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","29.0","false",
"B8","8","DWV","1.281","Amp","UNKNOWN","32.213","33.128","0.792","7.019","4.265","2.386","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","27.0","false",
"B9","No Sample","DWV","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","39.0","false",
"C1","1","DWV","1.326","Amp","UNKNOWN","28.839","29.138","0.261","62.353","51.903","9.123","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","24.0","false",
"C2","2","DWV","1.355","Amp","UNKNOWN","25.228","25.148","0.094","645.851","680.96","41.792","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","20.0","false",
"C3","3","DWV","1.204","Amp","UNKNOWN","34.611","34.525","0.121","1.486","1.573","0.123","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","30.0","false",
"C4","4","DWV","1.303","Amp","UNKNOWN","31.121","31.345","0.665","14.236","13.032","4.961","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","26.0","false",
"C5","5","DWV","1.342","Amp","UNKNOWN","26.834","26.569","0.234","228.405","273.028","39.684","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","22.0","false",
"C6","6","DWV","1.359","Amp","UNKNOWN","22.634","23.149","0.642","3462.192","2617.256","970.042","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","18.0","false",
"C7","7","DWV","1.021","Amp","UNKNOWN","35.410","35.016","0.557","0.886","1.181","0.417","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","30.0","false",
"C8","8","DWV","1.271","Amp","UNKNOWN","33.579","33.128","0.792","2.898","4.265","2.386","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","29.0","false",

