# Experiment File Name : 20180520_ImidPilot_72-82_BurnhamVirusPlants_9-12_Run122.eds
# Created By :alexburn17@gmail.com
# Last Modified Date : 2018-05-21 02:21:50 PM
# Instrument Type : StepOnePlus System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","I-72","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.088","true","3.0","39.0","false",
"A2","I-73","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.088","true","3.0","39.0","false",
"A3","I-74","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.088","true","3.0","39.0","false",
"A4","I-75","DWV","0.0","No Amp","UNKNOWN","Undetermined","38.282","-","1.52891873E10","0.138","-","35.2228","0.993","-3.5567","91.05548","true","0.088","true","3.0","39.0","false",
"A5","I-76","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.088","true","3.0","39.0","false",
"A6","I-77","DWV","0.0","No Amp","UNKNOWN","Undetermined","34.704","-","1.52891873E10","1.399","-","35.2228","0.993","-3.5567","91.05548","true","0.088","true","3.0","39.0","false",
"A7","I-78","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.088","true","3.0","39.0","false",
"A8","I-79","DWV","0.854","No Amp","UNKNOWN","39.473","36.785","3.802","0.064","1.069","1.421","35.2228","0.993","-3.5567","91.05548","true","0.088","true","3.0","35.0","false",
"A9","I-80","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.088","true","3.0","39.0","false",
"A10","I-81","DWV","1.258","Amp","UNKNOWN","35.365","35.365","-","0.912","0.912","-","35.2228","0.993","-3.5567","91.05548","true","0.088","true","3.0","31.0","false",
