# Experiment File Name : 20180717_Burnham_PlantTransII_BombusVirusTest.eds
# Created By :alexburn17@gmail.com
# Last Modified Date : 2018-12-05 12:47:26 PM
# Instrument Type : StepOnePlus System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","B1","DWV","1.237","Amp","UNKNOWN","32.383","32.002","0.539","6.288","8.294","2.837","35.2228","0.993","-3.5567","91.05548","true","0.05","true","3.0","29.0","false",
"A2","B2","DWV","1.158","Amp","UNKNOWN","34.526","33.496","1.456","1.57","3.764","3.102","35.2228","0.993","-3.5567","91.05548","true","0.05","true","3.0","31.0","false",
"A3","B3","DWV","1.26","Amp","UNKNOWN","33.791","34.342","0.778","2.526","1.883","0.91","35.2228","0.993","-3.5567","91.05548","true","0.05","true","3.0","30.0","false",
"A4","B4","DWV","1.207","Amp","UNKNOWN","33.808","33.287","0.737","2.499","3.703","1.703","35.2228","0.993","-3.5567","91.05548","true","0.05","true","3.0","30.0","false",
"A5","G-Block","DWV","1.272","Amp","UNKNOWN","29.590","29.59","-","38.335","38.335","-","35.2228","0.993","-3.5567","91.05548","true","0.05","true","3.0","26.0","false",
"A10","RS","DWV","1.243","Amp","UNKNOWN","28.413","28.655","0.369","82.166","71.528","15.82","35.2228","0.993","-3.5567","91.05548","true","0.05","true","3.0","25.0","false",
"A11","RS","DWV","1.247","Amp","UNKNOWN","29.080","28.655","0.369","53.348","71.528","15.82","35.2228","0.993","-3.5567","91.05548","true","0.05","true","3.0","26.0","false",
"A12","RS","DWV","1.26","Amp","UNKNOWN","28.472","28.655","0.369","79.07","71.528","15.82","35.2228","0.993","-3.5567","91.05548","true","0.05","true","3.0","25.0","false",
"B1","B1","DWV","1.246","Amp","UNKNOWN","31.620","32.002","0.539","10.3","8.294","2.837","35.2228","0.993","-3.5567","91.05548","true","0.05","true","3.0","28.0","false",
"B2","B2","DWV","1.247","Amp","UNKNOWN","32.466","33.496","1.456","5.957","3.764","3.102","35.2228","0.993","-3.5567","91.05548","true","0.05","true","3.0","29.0","false",
"B3","B3","DWV","1.2","Inconclusive","UNKNOWN","34.892","34.342","0.778","1.239","1.883","0.91","35.2228","0.993","-3.5567","91.05548","true","0.05","true","3.0","31.0","false",
"B4","B4","DWV","1.257","Amp","UNKNOWN","32.766","33.287","0.737","4.907","3.703","1.703","35.2228","0.993","-3.5567","91.05548","true","0.05","true","3.0","29.0","false",
"B5","No Sample","DWV","1.289","Amp","NTC","33.902","-","-","-","-","-","35.2228","0.993","-3.5567","91.05548","true","0.05","true","3.0","30.0","false",
"C1","B1","BQCV","0.0","No Amp","UNKNOWN","Undetermined","-","-","2.52624323E10","-","-","34.8074","0.9981","-3.4422","95.21442","true","0.141","true","3.0","39.0","false",
"C2","B2","BQCV","1.31","Amp","UNKNOWN","32.538","32.76","0.315","4.565","3.976","0.832","34.8074","0.9981","-3.4422","95.21442","true","0.141","true","3.0","27.0","false",
"C3","B3","BQCV","0.0","No Amp","UNKNOWN","Undetermined","-","-","2.52624323E10","-","-","34.8074","0.9981","-3.4422","95.21442","true","0.141","true","3.0","39.0","false",
"C4","B4","BQCV","0.0","No Amp","UNKNOWN","Undetermined","-","-","2.52624323E10","-","-","34.8074","0.9981","-3.4422","95.21442","true","0.141","true","3.0","39.0","false",
"C5","G-Block","BQCV","1.341","Amp","UNKNOWN","30.693","30.693","-","15.678","15.678","-","34.8074","0.9981","-3.4422","95.21442","true","0.141","true","3.0","26.0","false",
"D1","B1","BQCV","0.0","No Amp","UNKNOWN","Undetermined","-","-","2.52624323E10","-","-","34.8074","0.9981","-3.4422","95.21442","true","0.141","true","3.0","39.0","false",
"D2","B2","BQCV","1.316","Amp","UNKNOWN","32.983","32.76","0.315","3.388","3.976","0.832","34.8074","0.9981","-3.4422","95.21442","true","0.141","true","3.0","28.0","false",
"D3","B3","BQCV","0.0","No Amp","UNKNOWN","Undetermined","-","-","2.52624323E10","-","-","34.8074","0.9981","-3.4422","95.21442","true","0.141","true","3.0","39.0","false",
"D4","B4","BQCV","0.0","No Amp","UNKNOWN","Undetermined","-","-","2.52624323E10","-","-","34.8074","0.9981","-3.4422","95.21442","true","0.141","true","3.0","39.0","false",
"D5","No Sample","BQCV","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","34.8074","0.9981","-3.4422","95.21442","true","0.141","true","3.0","39.0","false",
"E1","B1","IAPV","0.0","No Amp","UNKNOWN","Undetermined","-","-","3.5337269E10","-","-","36.7574","0.9983","-3.5795","90.26926","true","0.2","true","3.0","39.0","false",
"E2","B2","IAPV","0.0","No Amp","UNKNOWN","Undetermined","-","-","3.5337269E10","-","-","36.7574","0.9983","-3.5795","90.26926","true","0.2","true","3.0","39.0","false",
"E3","B3","IAPV","0.0","No Amp","UNKNOWN","Undetermined","-","-","3.5337269E10","-","-","36.7574","0.9983","-3.5795","90.26926","true","0.2","true","3.0","39.0","false",
"E4","B4","IAPV","0.0","No Amp","UNKNOWN","Undetermined","-","-","3.5337269E10","-","-","36.7574","0.9983","-3.5795","90.26926","true","0.2","true","3.0","39.0","false",
"E5","G-Block","IAPV","0.0","No Amp","UNKNOWN","Undetermined","-","-","3.5337269E10","-","-","36.7574","0.9983","-3.5795","90.26926","true","0.2","true","3.0","39.0","false",
"F1","B1","IAPV","0.0","No Amp","UNKNOWN","Undetermined","-","-","3.5337269E10","-","-","36.7574","0.9983","-3.5795","90.26926","true","0.2","true","3.0","39.0","false",
"F2","B2","IAPV","0.0","No Amp","UNKNOWN","Undetermined","-","-","3.5337269E10","-","-","36.7574","0.9983","-3.5795","90.26926","true","0.2","true","3.0","39.0","false",
"F3","B3","IAPV","0.0","No Amp","UNKNOWN","Undetermined","-","-","3.5337269E10","-","-","36.7574","0.9983","-3.5795","90.26926","true","0.2","true","3.0","39.0","false",
"F4","B4","IAPV","0.0","No Amp","UNKNOWN","Undetermined","-","-","3.5337269E10","-","-","36.7574","0.9983","-3.5795","90.26926","true","0.2","true","3.0","39.0","false",
"F5","No Sample","IAPV","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","36.7574","0.9983","-3.5795","90.26926","true","0.2","true","3.0","39.0","false",
"G1","B1","ACTIN","1.415","Amp","UNKNOWN","16.049","16.15","0.142","530610.06","498485.2","45431.445","36.5667","0.9988","-3.584","90.11565","true","0.233","true","3.0","10.0","false",
"G2","B2","ACTIN","1.416","Amp","UNKNOWN","15.643","15.57","0.104","688606.0","722636.06","48125.777","36.5667","0.9988","-3.584","90.11565","true","0.233","true","3.0","10.0","false",
"G3","B3","ACTIN","1.421","Amp","UNKNOWN","16.076","16.04","0.052","521356.0","533997.9","17878.277","36.5667","0.9988","-3.584","90.11565","true","0.233","true","3.0","10.0","false",
"G4","B4","ACTIN","1.416","Amp","UNKNOWN","16.008","15.984","0.034","544699.25","553301.4","12165.256","36.5667","0.9988","-3.584","90.11565","true","0.233","true","3.0","10.0","false",
"G5","G-Block","ACTIN","1.422","Amp","UNKNOWN","31.144","31.144","-","32.584","32.584","-","36.5667","0.9988","-3.584","90.11565","true","0.233","true","3.0","25.0","false",
"G10","RS","ACTIN","1.414","Amp","UNKNOWN","16.868","16.844","0.097","313436.53","318916.3","20078.172","36.5667","0.9988","-3.584","90.11565","true","0.233","true","3.0","11.0","false",
"G11","RS","ACTIN","1.411","Amp","UNKNOWN","16.737","16.844","0.097","341165.47","318916.3","20078.172","36.5667","0.9988","-3.584","90.11565","true","0.233","true","3.0","11.0","false",
"G12","RS","ACTIN","1.419","Amp","UNKNOWN","16.926","16.844","0.097","302146.9","318916.3","20078.172","36.5667","0.9988","-3.584","90.11565","true","0.233","true","3.0","12.0","false",
"H1","B1","ACTIN","1.423","Amp","UNKNOWN","16.250","16.15","0.142","466360.28","498485.2","45431.445","36.5667","0.9988","-3.584","90.11565","true","0.233","true","3.0","11.0","false",
"H2","B2","ACTIN","1.414","Amp","UNKNOWN","15.497","15.57","0.104","756666.1","722636.06","48125.777","36.5667","0.9988","-3.584","90.11565","true","0.233","true","3.0","10.0","false",
"H3","B3","ACTIN","1.42","Amp","UNKNOWN","16.003","16.04","0.052","546639.7","533997.9","17878.277","36.5667","0.9988","-3.584","90.11565","true","0.233","true","3.0","10.0","false",
"H4","B4","ACTIN","1.419","Amp","UNKNOWN","15.960","15.984","0.034","561903.5","553301.4","12165.256","36.5667","0.9988","-3.584","90.11565","true","0.233","true","3.0","10.0","false",
"H5","No Sample","ACTIN","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","36.5667","0.9988","-3.584","90.11565","true","0.233","true","3.0","39.0","false",

