# Experiment File Name : 20180805_Burnham_PlantTrans2_HB_Run28.eds
# Created By :alexburn17@gmail.com
# Last Modified Date : 2018-08-06 03:25:30 PM
# Instrument Type : StepOnePlus System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","RS","DWV","0.0","No Amp","UNKNOWN","Undetermined","38.445","-","1.52891873E10","0.124","-","35.2228","0.993","-3.5567","91.05548","true","0.048","true","3.0","39.0","false",
"A2","NUC","DWV","0.0","No Amp","UNKNOWN","Undetermined","38.081","-","1.52891873E10","0.157","-","35.2228","0.993","-3.5567","91.05548","true","0.048","true","3.0","39.0","false",
"A3","ML","DWV","1.207","Amp","UNKNOWN","34.791","33.777","1.434","1.323","3.118","2.54","35.2228","0.993","-3.5567","91.05548","true","0.048","true","3.0","31.0","false",
"A4","MR","DWV","0.942","No Amp","UNKNOWN","37.539","38.316","1.099","0.223","0.152","0.1","35.2228","0.993","-3.5567","91.05548","true","0.048","true","3.0","34.0","false",
"A5","13","DWV","0.0","No Amp","UNKNOWN","Undetermined","33.233","-","1.52891873E10","3.625","-","35.2228","0.993","-3.5567","91.05548","true","0.048","true","3.0","39.0","false",
"A6","14","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.048","true","3.0","39.0","false",
"A7","15","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.048","true","3.0","39.0","false",
"A8","16","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.048","true","3.0","39.0","false",
"A9","Gblock","DWV","1.358","Amp","UNKNOWN","18.881","18.881","-","39328.066","39328.066","-","35.2228","0.993","-3.5567","91.05548","true","0.048","true","3.0","15.0","false",
"B1","RS","DWV","0.828","No Amp","UNKNOWN","38.445","38.445","-","0.124","0.124","-","35.2228","0.993","-3.5567","91.05548","true","0.048","true","3.0","35.0","false",
"B2","NUC","DWV","0.883","No Amp","UNKNOWN","38.081","38.081","-","0.157","0.157","-","35.2228","0.993","-3.5567","91.05548","true","0.048","true","3.0","35.0","false",
"B3","ML","DWV","1.326","Amp","UNKNOWN","32.763","33.777","1.434","4.914","3.118","2.54","35.2228","0.993","-3.5567","91.05548","true","0.048","true","3.0","29.0","false",
"B4","MR","DWV","0.735","No Amp","UNKNOWN","39.093","38.316","1.099","0.082","0.152","0.1","35.2228","0.993","-3.5567","91.05548","true","0.048","true","3.0","35.0","false",
