# Experiment File Name : 20180817_Burnham_PlantTransII_ReStoneYard_Run30.eds
# Created By :alexburn17@gmail.com
# Last Modified Date : 2018-12-05 12:47:25 PM
# Instrument Type : StepOnePlus System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","RS","DWV","1.304","Amp","UNKNOWN","18.637","18.802","0.234","46053.086","41620.582","6268.507","35.2228","0.993","-3.5567","91.05548","true","0.136","true","3.0","14.0","false",
"A2","RS","BQCV","1.262","Amp","UNKNOWN","18.008","17.988","0.029","75924.36","76971.375","1480.696","34.8074","0.9981","-3.4422","95.21442","true","0.087","true","3.0","14.0","false",
"A3","RS","IAPV","0.0","No Amp","UNKNOWN","Undetermined","-","-","3.5337269E10","-","-","36.7574","0.9983","-3.5795","90.26926","true","0.259","true","3.0","39.0","false",
"A4","RS","ACTIN","1.387","Amp","UNKNOWN","18.604","18.538","0.093","102795.766","107314.02","6389.776","36.5667","0.9988","-3.584","90.11565","true","0.227","true","3.0","13.0","false",
"B1","RS","DWV","1.29","Amp","UNKNOWN","18.967","18.802","0.234","37188.08","41620.582","6268.507","35.2228","0.993","-3.5567","91.05548","true","0.136","true","3.0","14.0","false",
"B2","RS","BQCV","1.292","Amp","UNKNOWN","17.967","17.988","0.029","78018.38","76971.375","1480.696","34.8074","0.9981","-3.4422","95.21442","true","0.087","true","3.0","14.0","false",
"B3","RS","IAPV","0.947","No Amp","UNKNOWN","Undetermined","-","-","3.5337269E10","-","-","36.7574","0.9983","-3.5795","90.26926","true","0.259","true","3.0","34.0","false",
"B4","RS","ACTIN","1.406","Amp","UNKNOWN","18.473","18.538","0.093","111832.27","107314.02","6389.776","36.5667","0.9988","-3.584","90.11565","true","0.227","true","3.0","13.0","false",
"C1","Gblock","DWV","1.353","Amp","UNKNOWN","21.061","21.061","-","9585.008","9585.008","-","35.2228","0.993","-3.5567","91.05548","true","0.136","true","3.0","16.0","false",
"C2","Gblock","BQCV","1.342","Amp","UNKNOWN","20.515","20.515","-","14197.212","14197.212","-","34.8074","0.9981","-3.4422","95.21442","true","0.087","true","3.0","16.0","false",
"C3","Gblock","IAPV","1.404","Amp","UNKNOWN","22.723","22.723","-","8331.797","8331.797","-","36.7574","0.9983","-3.5795","90.26926","true","0.259","true","3.0","17.0","false",
"C4","Gblock","ACTIN","1.445","Amp","UNKNOWN","21.929","21.929","-","12141.224","12141.224","-","36.5667","0.9988","-3.584","90.11565","true","0.227","true","3.0","16.0","false",
"D1","No Sample","DWV","1.339","Amp","NTC","35.408","-","-","-","-","-","35.2228","0.993","-3.5567","91.05548","true","0.136","true","3.0","30.0","false",
"D2","No Sample","BQCV","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","34.8074","0.9981","-3.4422","95.21442","true","0.087","true","3.0","39.0","false",
"D3","No Sample","IAPV","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","36.7574","0.9983","-3.5795","90.26926","true","0.259","true","3.0","39.0","false",
"D4","No Sample","ACTIN","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","36.5667","0.9988","-3.584","90.11565","true","0.227","true","3.0","39.0","false",

