# Experiment File Name : 20180818_Burnham_PlanttransII_Wash_Run31.eds
# Created By :alexburn17@gmail.com
# Last Modified Date : 2018-08-23 11:50:27 PM
# Instrument Type : StepOnePlus System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","1","DWV","1.341","Amp","UNKNOWN","26.096","26.265","0.238","368.167","332.086","51.026","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","21.0","false",
"A2","2","DWV","1.307","Amp","UNKNOWN","25.992","25.99","0.002","393.895","394.328","0.613","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","21.0","false",
"A3","in","DWV","1.339","Amp","UNKNOWN","23.272","23.344","0.101","2291.202","2189.78","143.434","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","18.0","false",
"A4","on","DWV","1.344","Amp","UNKNOWN","33.426","33.426","-","3.201","3.201","-","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","28.0","false",
"A5","W1","DWV","1.339","Amp","UNKNOWN","25.740","25.613","0.179","463.686","505.034","58.475","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","21.0","false",
"A6","W2","DWV","1.339","Amp","UNKNOWN","25.199","25.281","0.116","657.946","624.913","46.716","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","20.0","false",
"A7","WIn","DWV","1.338","Amp","UNKNOWN","25.609","25.769","0.226","504.561","457.356","66.758","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","21.0","false",
"A8","WON","DWV","1.326","Amp","UNKNOWN","32.212","32.098","0.161","7.024","7.584","0.791","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","27.0","false",
"A9","Gblock","DWV","1.368","Amp","UNKNOWN","21.102","21.102","-","9334.167","9334.167","-","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","16.0","false",
"B1","1","DWV","1.339","Amp","UNKNOWN","26.433","26.265","0.238","296.006","332.086","51.026","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","21.0","false",
"B2","2","DWV","1.344","Amp","UNKNOWN","25.988","25.99","0.002","394.762","394.328","0.613","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","21.0","false",
"B3","in","DWV","1.339","Amp","UNKNOWN","23.415","23.344","0.101","2088.357","2189.78","143.434","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","18.0","false",
"B4","on","DWV","0.0","No Amp","UNKNOWN","Undetermined","33.426","-","1.52891873E10","3.201","-","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","39.0","false",
"B5","W1","DWV","1.344","Amp","UNKNOWN","25.486","25.613","0.179","546.382","505.034","58.475","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","20.0","false",
"B6","W2","DWV","1.337","Amp","UNKNOWN","25.363","25.281","0.116","591.879","624.913","46.716","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","20.0","false",
"B7","WIn","DWV","1.339","Amp","UNKNOWN","25.929","25.769","0.226","410.151","457.356","66.758","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","21.0","false",
"B8","WON","DWV","1.329","Amp","UNKNOWN","31.983","32.098","0.161","8.143","7.584","0.791","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","27.0","false",
"B9","No Sample","DWV","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","39.0","false",
"C1","1","ACTIN","1.462","Amp","UNKNOWN","16.674","16.645","0.041","355256.1","361934.88","9445.246","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","11.0","false",
"C2","2","ACTIN","1.457","Amp","UNKNOWN","16.585","16.556","0.042","375982.66","383254.88","10284.463","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","11.0","false",
"C3","in","ACTIN","1.454","Amp","UNKNOWN","16.922","16.916","0.009","302778.84","303997.34","1723.22","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","11.0","false",
"C4","on","ACTIN","1.45","Amp","UNKNOWN","16.930","16.884","0.066","301280.66","310522.5","13069.967","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","11.0","false",
"C5","Gblock","ACTIN","1.478","Amp","UNKNOWN","21.880","21.88","-","12525.938","12525.938","-","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","16.0","false",
"D1","1","ACTIN","1.456","Amp","UNKNOWN","16.616","16.645","0.041","368613.7","361934.88","9445.246","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","11.0","false",
"D2","2","ACTIN","1.459","Amp","UNKNOWN","16.526","16.556","0.042","390527.1","383254.88","10284.463","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","11.0","false",
"D3","in","ACTIN","1.46","Amp","UNKNOWN","16.910","16.916","0.009","305215.84","303997.34","1723.22","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","11.0","false",
"D4","on","ACTIN","1.464","Amp","UNKNOWN","16.837","16.884","0.066","319764.38","310522.5","13069.967","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","10.0","false",
"D5","No Sample","ACTIN","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","39.0","false",

