# Experiment File Name : 20181016_Burnham_PlantTransII_rerunof34_Run35.eds
# Created By :alexburn17@gmail.com
# Last Modified Date : 2018-12-05 12:47:27 PM
# Instrument Type : StepOnePlus System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","171","DWV","1.264","Amp","UNKNOWN","34.346","34.346","-","1.764","1.764","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","31.0","false",
"A2","172","DWV","0.0","No Amp","UNKNOWN","Undetermined","38.802","-","1.52891873E10","0.099","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"A3","173","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"A4","174","DWV","1.301","Amp","UNKNOWN","34.014","34.014","-","2.186","2.186","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","31.0","false",
"A5","175","DWV","0.0","No Amp","UNKNOWN","Undetermined","37.931","-","1.52891873E10","0.173","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"A6","176","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"A7","214","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"A8","206","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"A9","211","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"A10","215","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"A11","205","DWV","0.0","No Amp","UNKNOWN","Undetermined","34.355","-","1.52891873E10","1.754","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"A12","181","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"B1","171","DWV","0.0","No Amp","UNKNOWN","Undetermined","34.346","-","1.52891873E10","1.764","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"B2","172","DWV","0.715","No Amp","UNKNOWN","38.802","38.802","-","0.099","0.099","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","35.0","false",
"B3","173","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"B4","174","DWV","0.0","No Amp","UNKNOWN","Undetermined","34.014","-","1.52891873E10","2.186","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"B5","175","DWV","0.923","No Amp","UNKNOWN","37.931","37.931","-","0.173","0.173","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","35.0","false",
"B6","176","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"B7","214","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"B8","206","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"B9","211","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"B10","215","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"B11","205","DWV","1.272","Amp","UNKNOWN","34.355","34.355","-","1.754","1.754","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","31.0","false",
"B12","181","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"C1","201","DWV","0.711","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"C2","196","DWV","1.326","Amp","UNKNOWN","29.169","29.504","0.474","50.354","41.49","12.536","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","26.0","false",
"C3","202","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"C4","203","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"C5","204","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"C6","208","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"C7","209","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"C8","210","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"C9","183","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"C10","182","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"C11","185","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"C12","No Sample","DWV","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"D1","201","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"D2","196","DWV","1.326","Amp","UNKNOWN","29.840","29.504","0.474","32.625","41.49","12.536","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","27.0","false",
"D3","202","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"D4","203","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"D5","204","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"D6","208","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"D7","209","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"D8","210","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"D9","183","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"D10","182","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"D11","185","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"D12","gBlock","DWV","1.354","Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","3.0","false",
"E1","171","ACTIN","1.458","Amp","UNKNOWN","14.594","14.531","0.09","1350983.8","1408341.1","81115.57","36.5667","0.9988","-3.584","90.11565","true","0.22","true","3.0","9.0","false",
"E2","172","ACTIN","1.448","Amp","UNKNOWN","14.207","14.176","0.044","1732840.4","1767931.9","49626.797","36.5667","0.9988","-3.584","90.11565","true","0.22","true","3.0","9.0","false",
"E3","173","ACTIN","1.453","Amp","UNKNOWN","14.666","14.714","0.067","1290049.0","1251769.2","54135.574","36.5667","0.9988","-3.584","90.11565","true","0.22","true","3.0","9.0","false",
"E4","174","ACTIN","1.446","Amp","UNKNOWN","14.415","14.429","0.02","1516273.8","1502651.4","19264.959","36.5667","0.9988","-3.584","90.11565","true","0.22","true","3.0","9.0","false",
"E5","175","ACTIN","1.443","Amp","UNKNOWN","14.775","14.717","0.083","1202665.2","1249991.4","66929.21","36.5667","0.9988","-3.584","90.11565","true","0.22","true","3.0","9.0","false",
"E6","176","ACTIN","1.445","Amp","UNKNOWN","14.402","14.436","0.048","1528644.6","1496184.8","45905.105","36.5667","0.9988","-3.584","90.11565","true","0.22","true","3.0","9.0","false",
"E7","214","ACTIN","1.443","Amp","UNKNOWN","14.928","14.909","0.027","1090379.6","1103810.4","18993.94","36.5667","0.9988","-3.584","90.11565","true","0.22","true","3.0","9.0","false",
"E8","206","ACTIN","1.448","Amp","UNKNOWN","14.322","14.353","0.043","1608936.1","1578047.1","43683.61","36.5667","0.9988","-3.584","90.11565","true","0.22","true","3.0","9.0","false",
"E9","211","ACTIN","1.445","Amp","UNKNOWN","14.481","14.491","0.014","1453039.1","1443995.4","12789.653","36.5667","0.9988","-3.584","90.11565","true","0.22","true","3.0","9.0","false",
"E10","215","ACTIN","1.456","Amp","UNKNOWN","14.113","14.096","0.025","1840523.0","1861584.2","29785.148","36.5667","0.9988","-3.584","90.11565","true","0.22","true","3.0","9.0","false",
