# Experiment File Name : 20181105_PlantTransII_Run41.eds
# Created By :alexburn17@gmail.com
# Last Modified Date : 2018-12-05 12:47:24 PM
# Instrument Type : StepOnePlus System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","111","DWV","1.303","Amp","UNKNOWN","23.326","23.249","0.111","2211.97","2329.442","170.795","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","19.0","false",
"A2","12","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","39.0","false",
"A3","13","DWV","1.292","Amp","UNKNOWN","32.579","36.148","5.047","5.539","2.797","3.878","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","29.0","false",
"A4","178","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","39.0","false",
"A5","216","DWV","0.0","No Amp","UNKNOWN","Undetermined","34.018","0.138","1.52891873E10","2.186","0.195","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","39.0","false",
"A6","12.1","DWV","0.902","Amp","UNKNOWN","29.019","28.802","0.57","55.507","66.967","26.3","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","25.0","false",
"A7","219","DWV","0.0","No Amp","UNKNOWN","Undetermined","33.524","1.063","1.52891873E10","3.365","2.149","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","39.0","false",
"A8","222","DWV","0.0","No Amp","UNKNOWN","Undetermined","33.361","-","1.52891873E10","3.338","-","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","39.0","false",
"A9","28","DWV","1.272","Amp","UNKNOWN","26.729","26.618","0.102","244.424","263.069","17.15","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","23.0","false",
"A10","172","DWV","0.0","No Amp","UNKNOWN","Undetermined","37.491","-","1.52891873E10","0.23","-","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","39.0","false",
"A11","39","DWV","1.274","Amp","UNKNOWN","24.923","24.769","0.154","786.612","871.928","86.637","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","21.0","false",
"A12","5","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","39.0","false",
"B1","111","DWV","1.302","Amp","UNKNOWN","23.299","23.249","0.111","2250.989","2329.442","170.795","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","19.0","false",
"B2","12","DWV","0.601","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","35.0","false",
"B3","13","DWV","0.0","No Amp","UNKNOWN","Undetermined","36.148","5.047","1.52891873E10","2.797","3.878","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","39.0","false",
"B4","178","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","39.0","false",
"B5","216","DWV","1.313","Amp","UNKNOWN","33.920","34.018","0.138","2.324","2.186","0.195","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","30.0","false",
"B6","12.1","DWV","0.843","Inconclusive","UNKNOWN","29.232","28.802","0.57","48.341","66.967","26.3","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","25.0","false",
"B7","219","DWV","1.315","Amp","UNKNOWN","34.276","33.524","1.063","1.846","3.365","2.149","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","30.0","false",
"B8","222","DWV","1.282","Amp","UNKNOWN","33.361","33.361","-","3.338","3.338","-","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","30.0","false",
"B9","28","DWV","1.283","Amp","UNKNOWN","26.529","26.618","0.102","278.171","263.069","17.15","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","23.0","false",
"B10","172","DWV","1.055","No Amp","UNKNOWN","37.491","37.491","-","0.23","0.23","-","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","33.0","false",
"B11","39","DWV","1.284","Amp","UNKNOWN","24.616","24.769","0.154","959.829","871.928","86.637","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","21.0","false",
"B12","5","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","39.0","false",
"C1","111","DWV","1.309","Amp","UNKNOWN","23.122","23.249","0.111","2525.368","2329.442","170.795","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","19.0","false",
"C2","12","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","39.0","false",
"C3","13","DWV","0.717","No Amp","UNKNOWN","39.717","36.148","5.047","0.055","2.797","3.878","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","35.0","false",
"C4","178","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","39.0","false",
"C5","216","DWV","1.298","Amp","UNKNOWN","34.116","34.018","0.138","2.048","2.186","0.195","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","30.0","false",
"C6","12.1","DWV","0.999","Amp","UNKNOWN","28.156","28.802","0.57","97.053","66.967","26.3","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","24.0","false",
"C7","219","DWV","1.309","Amp","UNKNOWN","32.773","33.524","1.063","4.885","3.365","2.149","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","29.0","false",
"C8","222","DWV","0.0","No Amp","UNKNOWN","Undetermined","33.361","-","1.52891873E10","3.338","-","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","39.0","false",
"C9","28","DWV","1.285","Amp","UNKNOWN","26.595","26.618","0.102","266.612","263.069","17.15","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","23.0","false",
"C10","172","DWV","0.0","No Amp","UNKNOWN","Undetermined","37.491","-","1.52891873E10","0.23","-","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","39.0","false",
"C11","39","DWV","1.298","Amp","UNKNOWN","24.769","24.769","0.154","869.344","871.928","86.637","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","21.0","false",
"C12","5","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","39.0","false",
"D1","167","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","39.0","false",
"D2","89","DWV","1.29","Amp","UNKNOWN","28.580","28.456","0.254","73.745","80.664","13.819","35.2228","0.993","-3.5567","91.05548","true","0.065","true","3.0","25.0","false",
