Well,Match,ID,target_name,Amp Score,Amp Status,Task,Cq,Cq_mean,Cq Standard Deviation,Quantity,quantity_mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Omit
E6,146,C146,DWV,1.354,Amp,UNKNOWN,28.286,28.708,0.596,89.178,70.422,26.526,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,24,FALSE
E7,147,C147,DWV,0,No Amp,UNKNOWN,Undetermined,36.683,-,1.53E+10,0.388,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,39,FALSE
E8,148,C148,DWV,1.351,Amp,UNKNOWN,32.814,32.856,0.059,4.756,4.631,0.177,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,28,FALSE
E9,149,C149,DWV,1.341,Amp,UNKNOWN,33.397,33.397,-,3.262,3.262,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,29,FALSE
E10,150,C150,DWV,1.369,Amp,UNKNOWN,27.103,27.038,0.092,191.895,200.32,11.916,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,23,FALSE
E11,151,C151,DWV,1.339,Amp,UNKNOWN,28.74,28.754,0.02,66.483,65.88,0.853,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,24,FALSE
E12,152,C152,DWV,1.349,Amp,UNKNOWN,33.218,33.299,0.115,3.662,3.479,0.259,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,29,FALSE
F6,146,C146,DWV,1.337,Amp,UNKNOWN,29.129,28.708,0.596,51.665,70.422,26.526,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,24,FALSE
F7,147,C147,DWV,1.245,No Amp,UNKNOWN,36.683,36.683,-,0.388,0.388,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,32,FALSE
F8,148,C148,DWV,1.349,Amp,UNKNOWN,32.898,32.856,0.059,4.506,4.631,0.177,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,28,FALSE
F9,149,C149,DWV,0.781,No Amp,UNKNOWN,Undetermined,33.397,-,1.53E+10,3.262,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,35,FALSE
F10,150,C150,DWV,1.348,Amp,UNKNOWN,26.973,27.038,0.092,208.746,200.32,11.916,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,22,FALSE
F11,151,C151,DWV,1.361,Amp,UNKNOWN,28.768,28.754,0.02,65.277,65.88,0.853,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,24,FALSE
F12,152,C152,DWV,1.362,Amp,UNKNOWN,33.38,33.299,0.115,3.296,3.479,0.259,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,29,FALSE
G1,153,C153,DWV,0,No Amp,UNKNOWN,Undetermined,32.608,-,1.53E+10,5.436,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,39,FALSE
G2,154,C154,DWV,1.116,No Amp,UNKNOWN,37.898,37.898,-,0.177,0.177,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,33,FALSE
G3,155,C155,DWV,0,No Amp,UNKNOWN,Undetermined,34.336,-,1.53E+10,1.776,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,39,FALSE
G4,156,C156,DWV,1.344,Amp,UNKNOWN,31.306,30.987,0.451,12.626,15.85,4.558,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,27,FALSE
G5,157,C157,DWV,1.334,Amp,UNKNOWN,32.877,33.424,0.773,4.566,3.408,1.638,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,28,FALSE
G6,158,C158,DWV,1.352,Amp,UNKNOWN,33.606,33.004,0.851,2.848,4.527,2.375,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,29,FALSE
G7,159,C159,DWV,1.327,Amp,UNKNOWN,34.644,33.877,1.084,1.455,2.689,1.746,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,30,FALSE
G8,160,C160,DWV,1.342,Amp,UNKNOWN,30.013,29.452,0.793,29.16,44.719,22.003,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,25,FALSE
G9,161,C161,DWV,1.333,Amp,UNKNOWN,33.1,33.1,-,3.953,3.953,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,28,FALSE
G10,162,C162,DWV,0,No Amp,UNKNOWN,Undetermined,34.251,-,1.53E+10,1.876,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,39,FALSE
G11,163,C163,DWV,0,No Amp,UNKNOWN,Undetermined,33.995,-,1.53E+10,2.214,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,39,FALSE
G12,164,C164,DWV,1.345,Amp,UNKNOWN,31.19,32.374,1.674,13.61,8.275,7.545,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,27,FALSE
H1,153,C153,DWV,1.333,Amp,UNKNOWN,32.608,32.608,-,5.436,5.436,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,28,FALSE
H2,154,C154,DWV,0,No Amp,UNKNOWN,Undetermined,37.898,-,1.53E+10,0.177,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,39,FALSE
H3,155,C155,DWV,1.351,Amp,UNKNOWN,34.336,34.336,-,1.776,1.776,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,30,FALSE
H4,156,C156,DWV,1.347,Amp,UNKNOWN,30.669,30.987,0.451,19.073,15.85,4.558,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,26,FALSE
H5,157,C157,DWV,1.343,Amp,UNKNOWN,33.97,33.424,0.773,2.25,3.408,1.638,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,29,FALSE
H6,158,C158,DWV,1.331,Amp,UNKNOWN,32.403,33.004,0.851,6.207,4.527,2.375,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,28,FALSE
H7,159,C159,DWV,1.346,Amp,UNKNOWN,33.111,33.877,1.084,3.924,2.689,1.746,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,29,FALSE
H8,160,C160,DWV,1.344,Amp,UNKNOWN,28.891,29.452,0.793,60.277,44.719,22.003,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,24,FALSE
H9,161,C161,DWV,0,No Amp,UNKNOWN,Undetermined,33.1,-,1.53E+10,3.953,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,39,FALSE
H10,162,C162,DWV,1.36,Amp,UNKNOWN,34.251,34.251,-,1.876,1.876,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,30,FALSE
H11,163,C163,DWV,1.34,Amp,UNKNOWN,33.995,33.995,-,2.214,2.214,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,29,FALSE
H12,164,C164,DWV,1.34,Amp,UNKNOWN,33.557,32.374,1.674,2.939,8.275,7.545,35.2228,0.993,-3.5567,91.05548,TRUE,0.104,TRUE,3,29,FALSE
