ID,ng.ul ,dil.factor
2,126.55,6.3
3,67.23,3.4
5,87.64,4.4
6,53.83,2.7
7,69.05,3.5
8,113.46,5.7
9,53.16,2.7
10,121.07,6.1
11,56.6,2.8
12,63.64,3.2
13,101.34,5.1
14,94.21,4.7
15,49.53,2.5
18,35.13,1.8
19,9.88,0.5
20,40,2
21,46.05,2.3
22,54,2.7
23,20.86,1
27,37.91,1.9
28,21.12,1.1
29,40.11,2
33,88.63,4.4
37,26.78,1.3
39,21,1.1
42,28.22,1.4
45,3.82,0.2
49,11.41,0.6
50,62.19,3.1
52,24.12,1.2
53,58.97,2.9
55,21.81,1.1
56,76.82,3.8
58,70.42,3.5
64,17.42,0.9
66,74.6,3.7
70,38.85,1.9
73,11.42,0.6
74,60.38,3
79,21.37,1.1
82,47.49,2.4
83,72.65,3.6
85,29.12,1.5
87,10.69,0.5
88,47.23,2.4
89,50.82,2.5
90,8.42,0.4
91,56.61,2.8
96,26.82,1.3
101,107.92,5.4
104,68.03,3.4
110,41.17,2.1
111,41.76,2.1
113,106.63,5.3
114,95.72,4.8
115,16.86,0.8
116,64.77,3.2
118,27.74,1.4
122,23.82,1.2
123,58.63,2.9
147,34.9,1.7
148,53.71,2.7
149,45.31,2.3
150,54.06,2.7
151,45.02,2.3
152,75.07,3.8
153,85.76,4.3
154,173.97,8.7
155,52.44,2.6
161,56.14,2.8
162,108.01,5.4
163,29.3,1.5
167,52,2.6
168,25.19,1.3
169,10.63,0.5
170,11.89,0.6
171,139.87,7
172,121.82,6.1
173,87.9,4.4
174,145.88,7.3
175,119.71,6
176,51.93,2.6
177,94.51,4.7
178,83.4,4.2
179,66.56,3.3
180,49.39,2.5
181,93.38,4.7
182,103.91,5.2
183,101.59,5.1
184,59.65,3
185,84.25,4.2
186,43.36,2.2
187,77.7,3.9
188,18.22,0.9
189,21.05,1.1
190,119.04,6
191,22.22,1.1
192,29.65,1.5
193,17.22,0.9
194,72.25,3.6
195,25.56,1.3
196,49.47,2.5
197,39.22,2
198,81.82,4.1
199,110.44,5.5
200,58.12,2.9
201,84.19,4.2
202,78.88,3.9
203,41,2.1
204,79.34,4
205,120.98,6
206,71.15,3.6
207,104.8,5.2
208,36.39,1.8
209,128.35,6.4
210,66.65,3.3
211,85.79,4.3
212,62.3,3.1
213,24.42,1.2
214,80.66,4
215,109.87,5.5
216,32.88,1.6
217,29.49,1.5
218,39.1,2
219,40.13,2
220,35.73,1.8
221,81.96,4.1
222,42.53,2.1
223,90.74,4.5
224,87.34,4.4
225,66.43,3.3
396,341.18,17.1
147C,0.7,0
148C,0.36,0
149C,1.32,0.1
150C,1.02,0.1
151C,0.91,0
152C,0.95,0
153C,0,0
154C,0.92,0
155C,1.23,0.1
161C,0.4,0
162C,1.36,0.1
163C,1.03,0.1
164C,1.27,0.1
26,35.96,1.8
30,45.32,2.3
31,55.34,2.8
34,61.87,3.1
35,32.65,1.6
36,29.88,1.5
41,82.41,4.1
43,35.6,1.8
44,20.93,1
47,71.66,3.6
48,73.32,3.7
51,63.26,3.2
54,19.24,1
57,23.38,1.2
60,56.23,2.8
62,24.92,1.2
80,74.69,3.7
81,47.37,2.4
86,96.19,4.8
95,52.9,2.6
97,100.9,5
98,37.3,1.9
103,90.19,4.5
301,NA,9.109
302,NA,10.8445
303,NA,10.345
304,NA,8.771
305,NA,11.9575
306,NA,9.6515
307,NA,9.7835
308,NA,7.4345
309,NA,9.7465
310,NA,6.8435
311,NA,8.973
312,NA,8.936
