Well,ID,target_name,Amp Score,Amp Status,Task,Cq,Cq_mean,Cq Standard Deviation,Quantity,quantity_mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Omit,Plate
A3,in,DWV,1.339,Amp,UNKNOWN,23.272,23.344,0.101,2291.202,2189.78,143.434,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,18,FALSE,31
B3,in,DWV,1.339,Amp,UNKNOWN,23.415,23.344,0.101,2088.357,2189.78,143.434,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,18,FALSE,31
C3,in,ACTIN,1.454,Amp,UNKNOWN,16.922,16.916,0.009,302778.84,303997.34,1723.22,36.5667,0.9988,-3.584,90.11565,FALSE,0.267,TRUE,3,11,FALSE,31
D3,in,ACTIN,1.46,Amp,UNKNOWN,16.91,16.916,0.009,305215.84,303997.34,1723.22,36.5667,0.9988,-3.584,90.11565,FALSE,0.267,TRUE,3,11,FALSE,31
A4,on,DWV,1.344,Amp,UNKNOWN,33.426,33.426,NA,3.201,3.201,NA,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,28,FALSE,31
B4,on,DWV,0,No Amp,UNKNOWN,Undetermined,33.426,NA,1.53E+10,3.201,NA,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,39,FALSE,31
C4,on,ACTIN,1.45,Amp,UNKNOWN,16.93,16.884,0.066,301280.66,310522.5,13069.967,36.5667,0.9988,-3.584,90.11565,FALSE,0.267,TRUE,3,11,FALSE,31
D4,on,ACTIN,1.464,Amp,UNKNOWN,16.837,16.884,0.066,319764.38,310522.5,13069.967,36.5667,0.9988,-3.584,90.11565,FALSE,0.267,TRUE,3,10,FALSE,31
A1,one,DWV,1.341,Amp,UNKNOWN,26.096,26.265,0.238,368.167,332.086,51.026,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,21,FALSE,31
B1,one,DWV,1.339,Amp,UNKNOWN,26.433,26.265,0.238,296.006,332.086,51.026,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,21,FALSE,31
C1,one,ACTIN,1.462,Amp,UNKNOWN,16.674,16.645,0.041,355256.1,361934.88,9445.246,36.5667,0.9988,-3.584,90.11565,FALSE,0.267,TRUE,3,11,FALSE,31
D1,one,ACTIN,1.456,Amp,UNKNOWN,16.616,16.645,0.041,368613.7,361934.88,9445.246,36.5667,0.9988,-3.584,90.11565,FALSE,0.267,TRUE,3,11,FALSE,31
A2,two,DWV,1.307,Amp,UNKNOWN,25.992,25.99,0.002,393.895,394.328,0.613,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,21,FALSE,31
B2,two,DWV,1.344,Amp,UNKNOWN,25.988,25.99,0.002,394.762,394.328,0.613,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,21,FALSE,31
C2,two,ACTIN,1.457,Amp,UNKNOWN,16.585,16.556,0.042,375982.66,383254.88,10284.463,36.5667,0.9988,-3.584,90.11565,FALSE,0.267,TRUE,3,11,FALSE,31
D2,two,ACTIN,1.459,Amp,UNKNOWN,16.526,16.556,0.042,390527.1,383254.88,10284.463,36.5667,0.9988,-3.584,90.11565,FALSE,0.267,TRUE,3,11,FALSE,31
A5,W1,DWV,1.339,Amp,UNKNOWN,25.74,25.613,0.179,463.686,505.034,58.475,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,21,FALSE,31
B5,W1,DWV,1.344,Amp,UNKNOWN,25.486,25.613,0.179,546.382,505.034,58.475,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,20,FALSE,31
A6,W2,DWV,1.339,Amp,UNKNOWN,25.199,25.281,0.116,657.946,624.913,46.716,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,20,FALSE,31
B6,W2,DWV,1.337,Amp,UNKNOWN,25.363,25.281,0.116,591.879,624.913,46.716,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,20,FALSE,31
A7,WIn,DWV,1.338,Amp,UNKNOWN,25.609,25.769,0.226,504.561,457.356,66.758,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,21,FALSE,31
B7,WIn,DWV,1.339,Amp,UNKNOWN,25.929,25.769,0.226,410.151,457.356,66.758,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,21,FALSE,31
A8,WON,DWV,1.326,Amp,UNKNOWN,32.212,32.098,0.161,7.024,7.584,0.791,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,27,FALSE,31
B8,WON,DWV,1.329,Amp,UNKNOWN,31.983,32.098,0.161,8.143,7.584,0.791,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,27,FALSE,31
C6,4.1,DWV,1.24,Amp,UNKNOWN,24.58,24.345,0.332,982.606,1157.139,246.827,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,21,FALSE,40
D6,4.1,DWV,1.263,Amp,UNKNOWN,24.11,24.345,0.332,1331.672,1157.139,246.827,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,21,FALSE,40
G6,4.1,ACTIN,1.359,Amp,UNKNOWN,32.07,32.07,NA,17.976,17.976,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,28,FALSE,40
H6,4.1,ACTIN,0,No Amp,UNKNOWN,Undetermined,32.07,NA,3.03E+10,17.976,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,39,FALSE,40
C1,4.2,DWV,1.116,Amp,UNKNOWN,27.141,27.031,0.155,187.192,201.512,20.252,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,24,FALSE,40
D1,4.2,DWV,1.144,Amp,UNKNOWN,26.921,27.031,0.155,215.832,201.512,20.252,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,24,FALSE,40
G1,4.2,ACTIN,1.244,Amp,UNKNOWN,34.971,34.298,0.951,2.788,4.702,2.706,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,31,FALSE,40
H1,4.2,ACTIN,1.326,Amp,UNKNOWN,33.626,34.298,0.951,6.615,4.702,2.706,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,30,FALSE,40
A6,4.3,DWV,1.256,Amp,UNKNOWN,25.493,25.74,0.349,543.938,469.581,105.157,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,22,FALSE,40
B6,4.3,DWV,1.2,Amp,UNKNOWN,25.987,25.74,0.349,395.224,469.581,105.157,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,23,FALSE,40
E6,4.3,ACTIN,1.313,Amp,UNKNOWN,34.784,33.041,2.465,3.144,16.336,18.656,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,31,FALSE,40
