Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
1	Default	8/3/2018	5:06 PM	182.18	4.554	2.101	2.17	2.16	40.00	230	2.113	0.010
2	Default	8/3/2018	5:07 PM	216.89	5.422	2.475	2.19	2.15	40.00	230	2.521	0.031
3	Default	8/3/2018	5:07 PM	-13.08	-0.327	-0.128	2.55	1.23	40.00	230	-0.265	0.007
3	Default	8/3/2018	5:08 PM	206.90	5.173	2.360	2.19	2.23	40.00	230	2.317	0.066
4	Default	8/3/2018	5:09 PM	175.42	4.385	1.970	2.23	2.16	40.00	230	2.034	0.031
5	Default	8/3/2018	5:09 PM	239.15	5.979	2.710	2.21	2.16	40.00	230	2.766	0.060
6	Default	8/3/2018	5:09 PM	193.03	4.826	2.198	2.20	1.97	40.00	230	2.455	0.060
7	Default	8/3/2018	5:09 PM	195.67	4.892	2.240	2.18	2.09	40.00	230	2.338	0.069
8	Default	8/3/2018	5:10 PM	148.69	3.717	1.666	2.23	1.59	40.00	230	2.344	0.074
9	Default	8/3/2018	5:10 PM	194.93	4.873	2.214	2.20	2.02	40.00	230	2.409	0.082
10	Default	8/3/2018	5:10 PM	136.87	3.422	1.535	2.23	2.02	40.00	230	1.690	0.034
11	Default	8/3/2018	5:11 PM	179.46	4.487	2.022	2.22	1.92	40.00	230	2.339	0.039
12	Default	8/3/2018	5:11 PM	178.72	4.468	2.016	2.22	2.18	40.00	230	2.046	0.029
13	Default	8/3/2018	5:11 PM	179.35	4.484	2.021	2.22	1.79	40.00	230	2.505	0.074
14	Default	8/3/2018	5:12 PM	218.47	5.462	2.467	2.21	2.20	40.00	230	2.478	0.021
15	Default	8/3/2018	5:12 PM	168.60	4.215	1.903	2.22	1.78	40.00	230	2.363	0.054
16	Default	8/3/2018	5:12 PM	231.02	5.775	2.633	2.19	1.97	40.00	230	2.929	0.118
c	Default	8/3/2018	5:13 PM	2.39	0.060	0.025	2.38	0.31	40.00	230	0.196	0.096
