Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
26	Default	8/23/2018	12:36 PM	35.96	0.899	0.460	1.95	0.40	40.00	230	2.273	-0.014
30	Default	8/23/2018	12:37 PM	45.32	1.133	0.524	2.16	1.24	40.00	230	0.911	-0.007
31	Default	8/23/2018	12:37 PM	55.34	1.384	0.659	2.10	1.76	40.00	230	0.786	0.013
34	Default	8/23/2018	12:37 PM	61.87	1.547	0.782	1.98	1.08	40.00	230	1.434	-0.001
36	Default	8/23/2018	12:38 PM	29.88	0.747	0.378	1.98	1.12	40.00	230	0.668	0.028
35	Default	8/23/2018	12:38 PM	32.65	0.816	0.371	2.20	0.52	40.00	230	1.577	0.020
41	Default	8/23/2018	12:38 PM	82.41	2.060	0.964	2.14	1.16	40.00	230	1.775	0.028
43	Default	8/23/2018	12:39 PM	35.60	0.890	0.445	2.00	0.46	40.00	230	1.915	0.032
44	Default	8/23/2018	12:39 PM	20.93	0.523	0.245	2.14	0.09	40.00	230	6.050	0.024
47	Default	8/23/2018	12:40 PM	71.66	1.792	0.839	2.14	1.02	40.00	230	1.761	0.045
48	Default	8/23/2018	12:40 PM	73.32	1.833	0.882	2.08	1.33	40.00	230	1.378	0.021
51	Default	8/23/2018	12:40 PM	63.26	1.581	0.729	2.17	1.35	40.00	230	1.170	0.001
52	Default	8/23/2018	12:41 PM	33.61	0.840	0.427	1.97	0.71	40.00	230	1.188	-0.002
54	Default	8/23/2018	12:41 PM	19.24	0.481	0.243	1.98	0.11	40.00	230	4.476	0.004
57	Default	8/23/2018	12:41 PM	23.38	0.585	0.296	1.98	0.40	40.00	230	1.476	-0.013
60	Default	8/23/2018	12:42 PM	56.23	1.406	0.651	2.16	1.56	40.00	230	0.898	0.005
62	Default	8/23/2018	12:42 PM	24.92	0.623	0.331	1.88	0.30	40.00	230	2.061	0.043
c	Default	8/23/2018	12:42 PM	2.90	0.072	0.039	1.85	0.46	40.00	230	0.159	0.074
80	Default	8/23/2018	12:43 PM	74.69	1.867	0.876	2.13	1.28	40.00	230	1.456	0.028
81	Default	8/23/2018	12:43 PM	47.37	1.184	0.532	2.22	0.13	40.00	230	9.266	0.014
86	Default	8/23/2018	12:44 PM	96.19	2.405	1.118	2.15	0.66	40.00	230	3.650	0.062
89	Default	8/23/2018	12:44 PM	37.13	0.928	0.446	2.08	1.18	40.00	230	0.789	-0.006
95	Default	8/23/2018	12:44 PM	52.90	1.323	0.624	2.12	0.68	40.00	230	1.950	0.013
97	Default	8/23/2018	12:45 PM	100.90	2.522	1.185	2.13	1.99	40.00	230	1.268	0.034
98	Default	8/23/2018	12:45 PM	37.30	0.933	0.453	2.06	0.80	40.00	230	1.162	0.005
103	Default	8/23/2018	12:45 PM	90.19	2.255	1.055	2.14	2.06	40.00	230	1.094	0.008
