Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
control	Default	10/11/2018	2:04 PM	2.42	0.060	0.094	0.64	0.30	40.00	230	0.199	0.048
42	Default	10/11/2018	2:05 PM	28.22	0.705	0.333	2.12	0.33	40.00	230	2.158	0.030
55	Default	10/11/2018	2:06 PM	21.81	0.545	0.271	2.01	0.22	40.00	230	2.434	-0.005
64	Default	10/11/2018	2:06 PM	17.42	0.435	0.248	1.75	0.75	40.00	230	0.581	0.024
33	Default	10/11/2018	2:07 PM	88.63	2.216	1.042	2.13	1.91	40.00	230	1.161	0.039
19	Default	10/11/2018	2:08 PM	9.88	0.247	0.147	1.68	0.20	40.00	230	1.256	0.001
58	Default	10/11/2018	2:09 PM	70.42	1.760	0.849	2.07	1.33	40.00	230	1.323	0.040
37	Default	10/11/2018	2:10 PM	26.78	0.670	0.345	1.94	0.76	40.00	230	0.879	0.031
49	Default	10/11/2018	2:11 PM	11.41	0.285	0.140	2.04	0.19	40.00	230	1.479	0.015
52	Default	10/11/2018	2:11 PM	24.12	0.603	0.331	1.82	0.13	40.00	230	4.806	0.012
39	Default	10/11/2018	2:12 PM	21.00	0.525	0.276	1.90	1.16	40.00	230	0.452	-0.001
45	Default	10/11/2018	2:13 PM	3.82	0.095	0.057	1.68	0.02	40.00	230	5.076	0.004
18	Default	10/11/2018	2:14 PM	35.13	0.878	0.413	2.13	0.13	40.00	230	6.543	0.012
28	Default	10/11/2018	2:14 PM	21.12	0.528	0.261	2.03	0.50	40.00	230	1.056	-0.000
22	Default	10/11/2018	2:15 PM	54.00	1.350	0.643	2.10	0.97	40.00	230	1.394	0.005
23	Default	10/11/2018	2:16 PM	20.86	0.522	0.266	1.96	0.65	40.00	230	0.800	-0.003
27	Default	10/11/2018	2:16 PM	37.91	0.948	0.480	1.97	0.31	40.00	230	3.030	-0.001
