Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
53	Default	10/12/2018	4:16 PM	58.97	1.474	0.669	2.20	1.98	40.00	230	0.745	0.042
11	Default	10/12/2018	4:17 PM	56.60	1.415	0.657	2.15	1.99	40.00	230	0.712	0.033
C	Default	10/12/2018	4:18 PM	0.67	0.017	0.009	1.76	0.04	40.00	230	0.462	0.078
29	Default	10/12/2018	4:19 PM	40.11	1.003	0.479	2.09	1.58	40.00	230	0.636	-0.001
9	Default	10/12/2018	4:19 PM	53.16	1.329	0.597	2.23	0.83	40.00	230	1.610	0.007
56	Default	10/12/2018	4:20 PM	76.82	1.920	0.875	2.19	2.19	40.00	230	0.876	0.023
21	Default	10/12/2018	4:21 PM	46.05	1.151	0.534	2.16	1.49	40.00	230	0.775	0.020
50	Default	10/12/2018	4:22 PM	62.19	1.555	0.692	2.25	2.05	40.00	230	0.758	0.005
10	Default	10/12/2018	4:23 PM	121.07	3.027	1.370	2.21	1.89	40.00	230	1.603	0.052
20	Default	10/12/2018	4:23 PM	40.00	1.000	0.472	2.12	0.64	40.00	230	1.565	0.014
6	Default	10/12/2018	4:26 PM	53.83	1.346	0.629	2.14	1.58	40.00	230	0.852	0.035
101	Default	10/12/2018	4:27 PM	107.92	2.698	1.237	2.18	1.46	40.00	230	1.851	0.088
66	Default	10/12/2018	4:28 PM	74.60	1.865	0.824	2.26	1.15	40.00	230	1.615	0.024
70	Default	10/12/2018	4:28 PM	38.85	0.971	0.427	2.27	1.34	40.00	230	0.724	0.029
123	Default	10/12/2018	4:29 PM	58.63	1.466	0.653	2.24	1.81	40.00	230	0.811	0.024
13	Default	10/12/2018	4:30 PM	101.34	2.534	1.208	2.10	2.03	40.00	230	1.251	0.003
113	Default	10/12/2018	4:30 PM	106.63	2.666	1.207	2.21	2.09	40.00	230	1.275	0.066
12	Default	10/12/2018	4:31 PM	63.64	1.591	0.735	2.17	1.31	40.00	230	1.218	0.038
8	Default	10/12/2018	4:32 PM	113.46	2.836	1.291	2.20	2.04	40.00	230	1.394	0.048
114	Default	10/12/2018	4:32 PM	95.72	2.393	1.096	2.18	2.06	40.00	230	1.161	0.028
91	Default	10/12/2018	4:33 PM	56.61	1.415	0.645	2.19	1.33	40.00	230	1.065	0.013
88	Default	10/12/2018	4:34 PM	47.23	1.181	0.568	2.08	1.11	40.00	230	1.067	0.031
74	Default	10/12/2018	4:34 PM	60.38	1.510	0.690	2.19	0.82	40.00	230	1.834	0.027
116	Default	10/12/2018	4:35 PM	64.77	1.619	0.734	2.21	0.95	40.00	230	1.712	0.035
111	Default	10/12/2018	4:35 PM	41.76	1.044	0.494	2.11	1.88	40.00	230	0.556	0.020
2	Default	10/12/2018	4:36 PM	126.55	3.164	1.422	2.22	1.92	40.00	230	1.650	0.006
7	Default	10/12/2018	4:36 PM	69.05	1.726	0.799	2.16	1.43	40.00	230	1.210	0.007
82	Default	10/12/2018	4:37 PM	47.49	1.187	0.559	2.12	1.60	40.00	230	0.744	0.005
14	Default	10/12/2018	4:38 PM	94.21	2.355	1.091	2.16	2.06	40.00	230	1.143	0.024
15	Default	10/12/2018	4:39 PM	49.53	1.238	0.566	2.19	1.22	40.00	230	1.018	0.009
83	Default	10/12/2018	4:39 PM	72.65	1.816	0.833	2.18	1.25	40.00	230	1.456	0.043
3	Default	10/12/2018	4:40 PM	67.23	1.681	0.785	2.14	1.73	40.00	230	0.974	-0.014
5	Default	10/12/2018	4:40 PM	87.64	2.191	1.013	2.16	1.90	40.00	230	1.154	0.034
C	Default	10/12/2018	4:41 PM	-0.04	-0.001	-0.007	0.14	-0.01	40.00	230	0.083	0.040
