Well,ID,target_name,Amp Score,Amp Status,Task,Cq,Cq_mean,Cq Standard Deviation,Quantity,quantity_mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Omit,Plate
C2,2,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,FALSE,38
D2,2,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,FALSE,38
G2,2,ACTIN,1.207,Amp,UNKNOWN,23.367,23.367,NA,4818.111,4818.111,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.122,TRUE,3,18,FALSE,38
H2,2,ACTIN,0,No Amp,UNKNOWN,Undetermined,23.367,NA,3.03E+10,4818.111,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.122,TRUE,3,39,FALSE,38
C1,3,DWV,0,No Amp,UNKNOWN,Undetermined,39.547,NA,1.53E+10,0.061,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.076,TRUE,3,39,FALSE,39
D1,3,DWV,0.796,No Amp,UNKNOWN,39.547,39.547,NA,0.061,0.061,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.076,TRUE,3,35,FALSE,39
G1,3,ACTIN,1.434,Amp,UNKNOWN,15.652,15.66,0.011,684692.2,681303.06,4792.941,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,9,FALSE,39
H1,3,ACTIN,1.428,Amp,UNKNOWN,15.668,15.66,0.011,677913.94,681303.06,4792.941,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,10,FALSE,39
G2,5,ACTIN,1.428,Amp,UNKNOWN,16.195,16.137,0.083,483077.22,501930.88,26663.102,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,11,FALSE,39
H2,5,ACTIN,1.428,Amp,UNKNOWN,16.078,16.137,0.083,520784.53,501930.88,26663.102,36.5667,0.9988,-3.584,90.11565,TRUE,0.209,TRUE,3,11,FALSE,39
