Well,ID,target_name,Amp Score,Cq,Cq_mean,Cq_sd,Quantity,quantity_mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Threshold,Baseline End
A1,26,DWV,0,Undetermined,35.775,NA,1.53E+10,0.7,NA,35.2228,0.993,-3.5567,91.05548,0.137,39
A2,30,DWV,1.317,28.231,28.476,0.347,92.454,79.867,17.801,35.2228,0.993,-3.5567,91.05548,0.137,23
A3,31,DWV,1.323,26.615,26.629,0.02,263.093,260.741,3.325,35.2228,0.993,-3.5567,91.05548,0.137,21
A4,34,DWV,1.327,27.793,27.795,0.003,122.76,122.595,0.233,35.2228,0.993,-3.5567,91.05548,0.137,23
A5,35,DWV,1.305,27.129,27.189,0.086,188.662,181.557,10.048,35.2228,0.993,-3.5567,91.05548,0.137,22
A6,36,DWV,1.276,25.391,25.486,0.135,581.301,547.494,47.811,35.2228,0.993,-3.5567,91.05548,0.137,20
A7,41,DWV,1.322,30.648,30.983,0.475,19.335,15.926,4.821,35.2228,0.993,-3.5567,91.05548,0.137,25
A8,43,DWV,1.31,29.49,29.785,0.416,40.898,34.42,9.16,35.2228,0.993,-3.5567,91.05548,0.137,24
A9,44,DWV,1.287,28.585,28.542,0.06,73.512,75.58,2.924,35.2228,0.993,-3.5567,91.05548,0.137,24
A10,47,DWV,1.319,26.5,26.464,0.051,283.394,290.221,9.654,35.2228,0.993,-3.5567,91.05548,0.137,21
A11,48,DWV,1.286,26.17,26.224,0.076,351.014,339.202,16.706,35.2228,0.993,-3.5567,91.05548,0.137,21
A12,51,DWV,1.314,29.988,29.966,0.03,29.644,30.061,0.589,35.2228,0.993,-3.5567,91.05548,0.137,25
B1,26,DWV,1.246,35.775,35.775,NA,0.7,0.7,NA,35.2228,0.993,-3.5567,91.05548,0.137,31
B2,30,DWV,1.306,28.722,28.476,0.347,67.28,79.867,17.801,35.2228,0.993,-3.5567,91.05548,0.137,24
