ID,Colony ,Treatment ,Time,Exp,DateInnoc,DateFed,ColonyID,rounds of flowers,#bees taken,DateMicroMade,NumBeesAfTrans,DateMicroTrans,DateSacrificed,notes
2,4,C,17,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,4,C,81,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,4,C,120,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2,C,1,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2,C,6,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2,C,49,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2,C,120,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,3,C,14,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,3,C,40,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,3,C,28,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,3,C,109,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,3,C,52,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,C,93,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1,C,120,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1,C,120,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1,C,2,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1,C,21,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,2,T,58,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,2,T,76,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,1,T,74,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,2,T,72,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,2,T,7,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,2,T,75,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,2,T,86,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,2,T,1,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,2,T,15,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,2,T,56,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,2,T,120,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,2,T,101,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,2,T,17,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,2,T,73,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,1,T,35,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1,T,84,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,1,T,13,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
