ID,Cq_mean.x,target_name.x,quantity_mean.x,Plate,ng.ul,dil.factor,genomeCopy.x,ACT_genomeCopy,PresentAbs,NormGenomeCopyBee,Colony,Treatment,Time,Exp,DateInnoc,DateFed,DWVLoad,LogBee,ID.y,Cq_mean.y,target_name.y,quantity_mean.y,genomeCopyflower,LogFlower
147,28.463,DWV,79.94,37,34.9,1.7,33974.5,152865581,1,149616.3712,1,Bee,15,Reverse,30-Aug,3-Sep,149616.3712,5.17498202,C147,36.683,DWV,0.388,161.6666667,2.211298567
148,28.088,DWV,101.409,37,53.71,2.7,68451.075,307325475,1,149939.986,1,Bee,15,Reverse,30-Aug,3-Sep,149939.986,5.175920362,C148,32.856,DWV,4.631,1929.583333,3.285688553
149,27.226,DWV,204.973,37,45.31,2.3,117859.475,232765244,1,340864.7752,1,Bee,15,Reverse,30-Aug,3-Sep,340864.7752,5.532583398,C149,33.397,DWV,3.262,1359.166667,3.133592127
150,37.172,DWV,0.284,38,54.06,2.7,191.7,3126462.3,1,41276.6717,1,Bee,15,Reverse,30-Aug,3-Sep,41276.6717,4.615715193,C150,27.038,DWV,200.32,83466.66667,4.921518273
151,25.618,DWV,512.963,37,45.02,2.3,294953.725,326244477.5,1,608620.352,1,Bee,15,Reverse,30-Aug,3-Sep,608620.352,5.784347184,C151,28.754,DWV,65.88,27450,4.43855817
153,32.333,DWV,7.853,36,85.76,4.3,8441.975,2236025800,1,2541.575445,2,Bee,15,Reverse,30-Aug,3-Sep,2541.575445,3.405273848,C153,32.608,DWV,5.436,2265,3.355259906
154,30.069,DWV,39.873,36,173.97,8.7,86723.775,4837799865,1,12067.74238,2,Bee,15,Reverse,30-Aug,3-Sep,12067.74238,4.081662017,C154,37.898,DWV,0.177,73.75,1.873611197
155,29.545,DWV,40.127,37,52.44,2.6,26082.55,396642740,1,44267.63226,2,Bee,15,Reverse,30-Aug,3-Sep,44267.63226,4.646096104,C155,34.336,DWV,1.776,740,2.869818208
161,26.36,DWV,312.85,37,56.14,2.8,218995,357527688,1,412344.5638,1,Bee,15,Reverse,30-Aug,3-Sep,412344.5638,5.615261327,C161,33.1,DWV,3.953,1647.083333,3.216979167
162,32.075,DWV,8.195,36,108.01,5.4,11063.25,2684652525,1,2774.152926,1,Bee,15,Reverse,30-Aug,3-Sep,2774.152926,3.44328692,C162,34.251,DWV,1.876,781.6666667,2.893576838
163,29.746,DWV,34.678,37,29.3,1.5,13004.25,158986968.8,1,55062.95764,2,Bee,15,Reverse,30-Aug,3-Sep,55062.95764,4.740867422,C163,33.995,DWV,2.214,922.5,2.9654369
