Well,ID,target_name,Amp Score,Amp Status,Task,Cq,Ct_mean,Ct_sd,Quantity,quantity_mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Omit
A1,1,DWV,1.316,Amp,UNKNOWN,29.249,29.138,0.261,47.824,51.903,9.123,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,25,FALSE
A2,2,DWV,1.356,Amp,UNKNOWN,25.045,25.148,0.094,727.187,680.96,41.792,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,20,FALSE
A3,3,DWV,0,No Amp,UNKNOWN,Undetermined,34.525,0.121,1.53E+10,1.573,0.123,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,39,FALSE
A4,4,DWV,1.287,Amp,UNKNOWN,32.094,31.345,0.665,7.58,13.032,4.961,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,27,FALSE
A5,5,DWV,1.345,Amp,UNKNOWN,26.485,26.569,0.234,286.321,273.028,39.684,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,22,FALSE
A6,6,DWV,1.366,Amp,UNKNOWN,22.945,23.149,0.642,2831.611,2617.256,970.042,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,18,FALSE
A7,7,DWV,0,No Amp,UNKNOWN,Undetermined,35.016,0.557,1.53E+10,1.181,0.417,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,39,FALSE
A8,8,DWV,1.275,Amp,UNKNOWN,33.591,33.128,0.792,2.876,4.265,2.386,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,29,FALSE
A9,G-Block,DWV,1.387,Amp,UNKNOWN,17.263,17.263,-,112081.23,112081.23,-,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,12,FALSE
B1,1,DWV,1.316,Amp,UNKNOWN,29.325,29.138,0.261,45.531,51.903,9.123,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,25,FALSE
B2,2,DWV,1.361,Amp,UNKNOWN,25.172,25.148,0.094,669.843,680.96,41.792,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,20,FALSE
B3,3,DWV,1.201,Amp,UNKNOWN,34.44,34.525,0.121,1.66,1.573,0.123,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,29,FALSE
B4,4,DWV,1.295,Amp,UNKNOWN,30.821,31.345,0.665,17.281,13.032,4.961,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,26,FALSE
B5,5,DWV,1.345,Amp,UNKNOWN,26.39,26.569,0.234,304.359,273.028,39.684,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,21,FALSE
B6,6,DWV,1.34,Amp,UNKNOWN,23.868,23.149,0.642,1557.965,2617.256,970.042,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,19,FALSE
B7,7,DWV,1.039,Amp,UNKNOWN,34.622,35.016,0.557,1.476,1.181,0.417,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,29,FALSE
B8,8,DWV,1.281,Amp,UNKNOWN,32.213,33.128,0.792,7.019,4.265,2.386,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,27,FALSE
B9,No Sample,DWV,0,No Amp,NTC,Undetermined,-,-,-,-,-,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,39,FALSE
C1,1,DWV,1.326,Amp,UNKNOWN,28.839,29.138,0.261,62.353,51.903,9.123,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,24,FALSE
C2,2,DWV,1.355,Amp,UNKNOWN,25.228,25.148,0.094,645.851,680.96,41.792,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,20,FALSE
C3,3,DWV,1.204,Amp,UNKNOWN,34.611,34.525,0.121,1.486,1.573,0.123,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,30,FALSE
C4,4,DWV,1.303,Amp,UNKNOWN,31.121,31.345,0.665,14.236,13.032,4.961,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,26,FALSE
C5,5,DWV,1.342,Amp,UNKNOWN,26.834,26.569,0.234,228.405,273.028,39.684,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,22,FALSE
C6,6,DWV,1.359,Amp,UNKNOWN,22.634,23.149,0.642,3462.192,2617.256,970.042,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,18,FALSE
C7,7,DWV,1.021,Amp,UNKNOWN,35.41,35.016,0.557,0.886,1.181,0.417,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,30,FALSE
C8,8,DWV,1.271,Amp,UNKNOWN,33.579,33.128,0.792,2.898,4.265,2.386,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,29,FALSE
