ID,target_name,amp_score,amp_status,task,Ct,Ct_mean,Ct_sd,quantity,quantity_mean,quantity_sd,intercept,r_squared,slope,efficiency,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,omit,run
P1,DWV,0.742,Amp,UNKNOWN,37.933,37.436,0.703,0.173,0.251,0.11,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,34,FALSE,
P2,DWV,0.953,Amp,UNKNOWN,34.009,33.22,0.876,2.194,2.975,3.432,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,31,FALSE,
P3,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
No Sample,DWV,0,No Amp,NTC,Undetermined,NA,NA,-,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
P1,DWV,0.815,Amp,UNKNOWN,36.939,37.436,0.703,0.329,0.251,0.11,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,33,FALSE,
P2,DWV,0.942,Amp,UNKNOWN,33.374,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,30,TRUE,
P3,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
Gblock,DWV,1.199,Amp,UNKNOWN,7.209,7.209,NA,7.52E+07,7.52E+07,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,5,FALSE,
P2,DWV,0.934,Amp,UNKNOWN,32.278,33.22,0.876,6.73,2.975,3.432,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,29,FALSE,
P3,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
P1,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.047,TRUE,3,39,TRUE,
P2,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.047,TRUE,3,39,TRUE,
P3,BQCV,1.058,Amp,UNKNOWN,23.94,24.058,0.133,1436.199,1330.269,117.173,34.8074,0.9981,-3.4422,95.21442,TRUE,0.047,TRUE,3,21,FALSE,
Gblock,BQCV,1.191,Amp,UNKNOWN,6.63,6.63,NA,1.53E+08,1.53E+08,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.047,TRUE,3,4,FALSE,
No Sample,BQCV,0,No Amp,NTC,Undetermined,NA,NA,-,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.047,TRUE,3,39,TRUE,
P1,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.047,TRUE,3,39,TRUE,
P2,BQCV,0.858,Amp,UNKNOWN,37.256,37.256,NA,0.194,0.194,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.047,TRUE,3,34,FALSE,
P3,BQCV,1.063,Amp,UNKNOWN,24.032,24.058,0.133,1350.199,1330.269,117.173,34.8074,0.9981,-3.4422,95.21442,TRUE,0.047,TRUE,3,21,FALSE,
P2,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.047,TRUE,3,39,TRUE,
P3,BQCV,1.055,Amp,UNKNOWN,24.203,24.058,0.133,1204.41,1330.269,117.173,34.8074,0.9981,-3.4422,95.21442,TRUE,0.047,TRUE,3,21,FALSE,
P4,DWV,1.123,Amp,UNKNOWN,32.752,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,30,TRUE,
P5,DWV,1.248,Amp,UNKNOWN,31.792,31.792,NA,9.214,9.214,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,29,FALSE,
P6,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
P7,DWV,1.166,Amp,UNKNOWN,33.046,33.046,NA,4.093,4.093,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,30,FALSE,
P8,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
P9,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
