"","ID","target_name","Ct_mean","Ct_sd","quantity_mean","ngul","dil.factor","site","spp","sampleType","gramsUsed","Exp","genomeCopy"
"1","P1","DWV",37.436,0.703,0.251,10.17,1,"Court","WC","chronic-1",1.5,"PlantTrans",104.583333333333
"17","P12","DWV",34.891,0.777,1.319,6.71,1,"Court","WC","acute",1.5,"PlantTrans",549.583333333333
"21","P14","DWV",36.773,2.029,0.464,11.46,1,"Court","WC","acute",1.5,"PlantTrans",193.333333333333
"32","P19","BQCV",25.624,0.128,466.329,8.57,1,"Court","BFT","acute",1.5,"PlantTrans",194303.75
"33","P19","DWV",30.874,NA,16.702,8.57,1,"Court","BFT","acute",1.5,"PlantTrans",6959.16666666667
"35","P2","DWV",33.22,0.876,2.975,122.08,1,"Court","RC","acute",1.5,"PlantTrans",1239.58333333333
"38","P2","BQCV",37.256,NA,0.194,122.08,1,"Court","RC","acute",1.5,"PlantTrans",80.8333333333333
"40","P20","DWV",33.007,NA,4.198,4.76,1,"Court","WC","comingle",1.5,"PlantTrans",1749.16666666667
"44","P22","DWV",36.366,NA,0.477,2.56,1,"Court","WC","comingle",1.5,"PlantTrans",198.75
"49","P23","DWV",39.948,NA,0.047,2.96,1,"Court","WC","chronic-3",1.5,"PlantTrans",19.5833333333333
"52","P25","DWV",30.332,0.454,24.233,3.09,1,"Court","WC","comingle",1.5,"PlantTrans",10097.0833333333
"58","P28","BQCV",32.911,0.055,3.556,7.46,1,"Court","WC","chronic-2",1.5,"PlantTrans",1481.66666666667
"61","P29","DWV",37.274,NA,0.265,4.39,1,"Court","WC","comingle",1.5,"PlantTrans",110.416666666667
"64","P3","BQCV",24.058,0.133,1330.269,47.81,1,"Court","BFT","acute",1.5,"PlantTrans",554278.75
"81","P37","DWV",34.394,NA,1.71,5.67,1,"Court","WC","chronic-2",1.5,"PlantTrans",712.5
"87","P4","BQCV",33.362,NA,2.629,18.05,1,"Court","WC","acute",1.5,"PlantTrans",1095.41666666667
"89","P4","DWV",34.129,1.948,0.416,18.05,1,"Court","WC","acute",1.5,"PlantTrans",173.333333333333
"91","P40","DWV",37.636,NA,0.21,3.53,1,"Court","WC","chronic-1",1.5,"PlantTrans",87.5
"111","P5","DWV",31.792,NA,9.214,138.27,6.9135,"Court","RC","acute",1.5,"PlantTrans",26542.07875
"118","P52","BQCV",28.95,0.117,50.373,84.32,4.216,"Court","RC","diversity",1.5,"PlantTrans",88488.57
"119","P52","DWV",30.443,0.177,22.145,84.32,4.216,"Court","RC","diversity",1.5,"PlantTrans",38901.3833333333
"132","P58","DWV",34.078,NA,2.099,36.49,1.8245,"Court","BFT","diversity",1.5,"PlantTrans",1595.67729166667
"136","P6","BQCV",30.697,0.329,15.823,54.03,2.7015,"Court","BFT","acute",1.5,"PlantTrans",17810.764375
"137","P6","DWV",32.977,NA,4.279,54.03,2.7015,"Court","BFT","acute",1.5,"PlantTrans",4816.549375
"142","P62","DWV",36.978,NA,0.321,80.66,4.033,"Court","BFT","diversity",1.5,"PlantTrans",539.41375
"145","P63","DWV",30.824,0.311,17.42,156.42,7.821,"Court","RC","diversity",1.5,"PlantTrans",56767.425
"146","P63","BQCV",29.487,0.167,35.239,156.42,7.821,"Court","RC","diversity",1.5,"PlantTrans",114835.09125
"153","P67","DWV",29.282,0.145,46.897,159.37,7.9685,"Court","RC","diversity",1.5,"PlantTrans",155707.810208333
"155","P67","BQCV",31.553,0.839,6.56,159.37,7.9685,"Court","RC","diversity",1.5,"PlantTrans",21780.5666666667
"162","P7","DWV",33.046,NA,4.093,12.27,1,"Court","WC","chronic-1",1.5,"PlantTrans",1705.41666666667
"188","P8","BQCV",33.189,NA,2.953,145.41,7.2705,"Court","RC","acute",1.5,"PlantTrans",8945.744375
