labID,ID,target_name,date,tent,group,fieldID,spp,exp,BINYprefilter,expID
P2,2,DWV,8/25/16,6,T,RC,RC,acute,1,RC_acute
P2,2,BQCV,8/25/16,6,T,RC,RC,acute,0,RC_acute
P5,5,BQCV,8/25/16,4,T,RC,RC,acute,0,RC_acute
P5,5,DWV,8/25/16,4,T,RC,RC,acute,0,RC_acute
P8,8,BQCV,8/25/16,5,T,RC-,RC,acute,0,RC_acute
P8,8,DWV,8/25/16,5,T,RC-,RC,acute,0,RC_acute
P13,13,DWV,8/25/16,2,C,RC,RC,acute,0,RC_acute
P13,13,BQCV,8/25/16,2,C,RC,RC,acute,0,RC_acute
P34,34,DWV,8/25/16,1,C,RC,RC,acute,0,RC_acute
P34,34,BQCV,8/25/16,1,C,RC,RC,acute,0,RC_acute
P46,46,BQCV,8/25/16,3,C,RC,RC,acute,0,RC_acute
P46,46,DWV,8/25/16,3,C,RC,RC,acute,0,RC_acute
P3,3,DWV,8/26/16,5,T,BFT-1,BFT,acute,0,BFT_acute
P3,3,BQCV,8/26/16,5,T,BFT-1,BFT,acute,1,BFT_acute
P6,6,BQCV,8/26/16,6,T,BFT-4,BFT,acute,1,BFT_acute
P6,6,DWV,8/26/16,6,T,BFT-4,BFT,acute,0,BFT_acute
P16,16,BQCV,8/26/16,1,C,BFT-9,BFT,acute,0,BFT_acute
P16,16,DWV,8/26/16,1,C,BFT-9,BFT,acute,0,BFT_acute
P17,17,BQCV,8/26/16,3,C,BFT-11,BFT,acute,0,BFT_acute
P17,17,DWV,8/26/16,3,C,BFT-11,BFT,acute,0,BFT_acute
P19,19,BQCV,8/26/16,4,T,BFT-6,BFT,acute,1,BFT_acute
P19,19,DWV,8/26/16,4,T,BFT-6,BFT,acute,0,BFT_acute
P39,39,DWV,8/26/16,2,C,BFT-15,BFT,acute,0,BFT_acute
P39,39,BQCV,8/26/16,2,C,BFT-15,BFT,acute,0,BFT_acute
P4,4,DWV,8/27/16,5,T,WC-48,WC,acute,0,WC_acute
P4,4,DWV,8/27/16,5,T,WC-48,WC,acute,1,WC_acute
P4,4,BQCV,8/27/16,5,T,WC-48,WC,acute,0,WC_acute
P12,12,DWV,8/27/16,2,C,WC-24,WC,acute,0,WC_acute
P12,12,BQCV,8/27/16,2,C,WC-24,WC,acute,0,WC_acute
P14,14,DWV,8/27/16,6,T,WC-14,WC,acute,1,WC_acute
P14,14,BQCV,8/27/16,6,T,WC-14,WC,acute,0,WC_acute
P27,27,DWV,8/27/16,1,C,WC-17,WC,acute,0,WC_acute
P27,27,BQCV,8/27/16,1,C,WC-17,WC,acute,0,WC_acute
P36,36,BQCV,8/27/16,4,T,WC-13,WC,acute,0,WC_acute
P36,36,DWV,8/27/16,4,T,WC-13,WC,acute,0,WC_acute
P45,45,BQCV,8/27/16,3,C,WC-29,WC,acute,0,WC_acute
P45,45,DWV,8/27/16,3,C,WC-29,WC,acute,0,WC_acute
P1,1,BQCV,8/28/16,6,T,WC-3,WC,chronic-1,0,WC_chronic-1
P1,1,DWV,8/28/16,6,T,WC-3,WC,chronic-1,1,WC_chronic-1
P7,7,DWV,8/28/16,4,T,WC-22,WC,chronic-1,0,WC_chronic-1
P7,7,BQCV,8/28/16,4,T,WC-22,WC,chronic-1,0,WC_chronic-1
P15,15,DWV,8/28/16,3,C,WC-11,WC,chronic-1,0,WC_chronic-1
P15,15,BQCV,8/28/16,3,C,WC-11,WC,chronic-1,0,WC_chronic-1
P26,26,DWV,8/28/16,2,C,WC-5,WC,chronic-1,0,WC_chronic-1
P26,26,BQCV,8/28/16,2,C,WC-5,WC,chronic-1,0,WC_chronic-1
P40,40,BQCV,8/28/16,1,C,WC-7,WC,chronic-1,0,WC_chronic-1
P40,40,DWV,8/28/16,1,C,WC-7,WC,chronic-1,0,WC_chronic-1
P44,44,BQCV,8/28/16,5,T,WC-16,WC,chronic-1,0,WC_chronic-1
P44,44,DWV,8/28/16,5,T,WC-16,WC,chronic-1,0,WC_chronic-1
P49,49,DWV,8/29/16,NA,PRE,BF,BFT,PRE,0,BFT_PRE
P49,49,BQCV,8/29/16,NA,PRE,BF,BFT,PRE,0,BFT_PRE
P47,47,DWV,8/29/16,NA,PRE,RC,RC,PRE,0,RC_PRE
P47,47,BQCV,8/29/16,NA,PRE,RC,RC,PRE,0,RC_PRE
P28,28,DWV,8/29/16,6,T,WC-26,WC,chronic-2,0,WC_chronic-2
P28,28,BQCV,8/29/16,6,T,WC-26,WC,chronic-2,1,WC_chronic-2
P31,31,BQCV,8/29/16,2,C,WC-56,WC,chronic-2,0,WC_chronic-2
P31,31,DWV,8/29/16,2,C,WC-56,WC,chronic-2,0,WC_chronic-2
P33,33,DWV,8/29/16,1,C,WC-39,WC,chronic-2,0,WC_chronic-2
