ID,Cq_mean,target_name,quantity_mean,Plate,ng.ul,dil.factor,genomeCopy,ACT_genomeCopy,PresentAbs,NormGenomeCopy,Colony,Treatment,Time,Exp,DateInnoc,DateFed,ColonyID,rounds.of.flowers,X.bees.taken,DateMicroMade,NumBeesAfTrans,DateMicroTrans,DateSacrificed,notes
301,NA,DWV,NA,27,NA,9.109,0,1979526320,0,0,1,1,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,NA,DWV,NA,27,NA,10.345,0,1716055600,0,0,3,1,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,NA,DWV,NA,27,NA,9.7465,0,1716403484,0,0,3,1,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,NA,DWV,NA,27,NA,6.8435,0,1246360564,0,0,1,1,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
307,34.965,DWV,1.221,27,NA,9.7835,2986.413375,2332224825,1,862.0158722,4,1,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
306,34.598,DWV,1.498,27,NA,9.6515,3614.48675,2449586652,0,993.320926,4,1,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,29.64,DWV,79.327,36,21.37,1.1,21814.925,89900250,1,163353.5508,4,1,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,NA,DWV,NA,38,60.38,3,0,1320677.25,0,0,3,1,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,32.244,DWV,7.882,39,38.85,1.9,3743.95,104678471.8,1,24077.33532,2,1,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,29.635,DWV,37.456,39,74.6,3.7,34646.8,396519602,1,58821.24629,1,1,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,31.525,DWV,11.366,32,47.37,2.4,6819.6,170658504,1,26900.89456,1,3,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,30.18,DWV,26.391,32,96.19,4.8,31669.2,610961880,1,34894.64089,2,3,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,29.106,DWV,52.915,32,74.69,3.7,48946.375,443040719.5,1,74372.54515,1,3,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,DWV,NA,36,29.12,1.5,0,1546.125,0,0,2,3,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,DWV,NA,38,47.23,2.4,0,6454377,0,0,3,3,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,38.781,DWV,0.106,38,56.61,2.8,74.2,317050.3,1,157547.491,2,3,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,29.682,DWV,37.741,39,72.65,3.6,33966.9,633573090,1,36090.66997,1,3,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,25.885,DWV,422.867,39,47.49,2.4,253720.2,256974450,1,664662.0066,1,3,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,28.456,DWV,80.664,41,50.82,2.5,50415,784875312.5,1,43240.91318,3,3,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,27.344,DWV,164.181,32,52.9,2.6,106717.65,244117250,1,294288.6676,1,5,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,24.193,DWV,1262.969,32,90.19,4.5,1420840.125,571925317.5,1,1672405.726,3,5,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,24.665,DWV,930.163,32,37.3,1.9,441827.425,173093011.5,1,1718339.171,2,5,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,22.419,DWV,4032.495,32,100.9,5,5040618.75,759383675,1,4468464.875,1,5,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,DWV,NA,36,68.03,3.4,0,355323.8,0,0,3,5,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,33.447,DWV,28.957,36,26.82,1.3,9411.025,276353967.5,1,22924.87507,1,5,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
305,31.305,DWV,12.944,27,NA,11.9575,38694.47,3402072568,1,7656.690351,2,10,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311,31.449,DWV,11.632,27,NA,8.973,26093.484,2255600886,1,7787.634635,4,10,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,30.422,DWV,22.396,27,NA,10.8445,60718.3555,2578315662,1,15853.29964,1,10,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,29.835,DWV,32.719,27,NA,7.4345,60812.35138,1468878029,1,27870.31107,3,10,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,27.731,DWV,127.877,27,NA,8.936,285677.218,2000872270,1,96115.18295,2,10,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304,24.712,DWV,904.399,27,NA,8.771,1983120.907,2055273127,1,649554.2129,2,10,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,DWV,NA,36,41.17,2.1,0,4482.975,0,0,1,10,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,31.912,DWV,21.158,36,23.82,1.2,6347.4,228279570,1,18718.22124,4,10,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
