ID,SampleStatus,target_name,Amp Status,Cq,Cq_mean,Cq_sd,quantity,quantity_mean,Quantity Standard Deviation,Plate,Well
1,p,ACTIN,Amp,15.101,15.073,0.04,975469.3,993378.5,25327.436,13,E1
1,p,ACTIN,Amp,15.045,15.073,0.04,1011287.7,993378.5,25327.436,13,F1
3,p,ACTIN,Amp,15.939,15.916,0.033,569388.3,577929.4,12078.924,13,E2
3,p,ACTIN,Amp,15.893,15.916,0.033,586470.5,577929.4,12078.924,13,F2
4,p,ACTIN,Amp,15.897,15.959,0.089,585242.9,562625,31986.44,13,E3
4,p,ACTIN,Amp,16.022,15.959,0.089,540007.2,562625,31986.44,13,F3
5,p,ACTIN,Amp,16.529,16.492,0.053,389855.3,399392.94,13488.257,13,E4
5,p,ACTIN,Amp,16.455,16.492,0.053,408930.56,399392.94,13488.257,13,F4
6,p,ACTIN,Amp,15.708,15.693,0.021,660664.3,667029.06,9001.078,13,E5
6,p,ACTIN,Amp,15.678,15.693,0.021,673393.75,667029.06,9001.078,13,F5
8,p,ACTIN,Amp,16.241,16.27,0.04,468937.3,460559.34,11848.259,13,E6
8,p,ACTIN,Amp,16.298,16.27,0.04,452181.34,460559.34,11848.259,13,F6
10,p,ACTIN,Amp,17.325,17.313,0.016,233819.03,235532.84,2423.688,13,E7
10,p,ACTIN,Amp,17.302,17.313,0.016,237246.66,235532.84,2423.688,13,F7
11,p,ACTIN,Amp,15.803,15.838,0.049,621353.75,607833.6,19120.361,13,E8
11,p,ACTIN,Amp,15.873,15.838,0.049,594313.44,607833.6,19120.361,13,F8
12,p,ACTIN,Amp,16.765,16.732,0.046,335089.3,342312.34,10214.908,13,E9
12,p,ACTIN,Amp,16.699,16.732,0.046,349535.38,342312.34,10214.908,13,F9
13,p,ACTIN,Amp,15.448,15.461,0.017,780486.44,774395.56,8613.847,13,E10
13,p,ACTIN,Amp,15.473,15.461,0.017,768304.6,774395.56,8613.847,13,F10
15,p,ACTIN,Amp,15.99,15.991,0.001,551190.06,550968.1,313.895,13,E11
15,p,ACTIN,Amp,15.991,15.991,0.001,550746.2,550968.1,313.895,13,F11
16,p,ACTIN,Amp,16.951,16.905,0.065,297313.12,306395.2,12843.992,13,E12
16,p,ACTIN,Amp,16.858,16.905,0.065,315477.28,306395.2,12843.992,13,F12
17,p,ACTIN,Amp,16.161,16.063,0.138,493855.75,526827.44,46628.99,13,G11
17,p,ACTIN,Amp,15.966,16.063,0.138,559799.1,526827.44,46628.99,13,H11
18,p,ACTIN,Amp,15.927,15.971,0.062,573911.75,558140.56,22303.803,13,G12
18,p,ACTIN,Amp,16.015,15.971,0.062,542369.44,558140.56,22303.803,13,H12
19,p,ACTIN,Amp,16.096,16.033,0.09,514819.53,536640.06,30858.938,14,E1
