Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
1	Default	4/17/2018	4:34 PM	197.51	4.938	2.271	2.17	2.16	40.00	230	2.285	0.002
2	Default	4/17/2018	4:36 PM	400.43	10.011	4.664	2.15	1.96	40.00	230	5.106	0.001
3	Default	4/17/2018	4:37 PM	345.31	8.633	3.984	2.17	1.99	40.00	230	4.329	0.014
4	Default	4/17/2018	4:38 PM	-25.70	-0.643	-0.291	2.21	1.77	40.00	230	-0.363	-0.275
4	Default	4/17/2018	4:40 PM	384.60	9.615	4.453	2.16	2.22	40.00	230	4.324	-0.006
5	Default	4/17/2018	4:41 PM	322.62	8.066	3.743	2.15	2.17	40.00	230	3.719	0.047
6	Default	4/17/2018	4:42 PM	316.24	7.906	3.666	2.16	2.09	40.00	230	3.780	0.064
7	Default	4/17/2018	4:42 PM	358.97	8.974	4.141	2.17	2.07	40.00	230	4.343	0.049
8	Default	4/17/2018	4:43 PM	331.63	8.291	3.843	2.16	2.03	40.00	230	4.081	0.032
9	Default	4/17/2018	4:44 PM	334.49	8.362	3.835	2.18	1.82	40.00	230	4.584	-0.003
10	Default	4/17/2018	4:44 PM	370.59	9.265	4.269	2.17	1.87	40.00	230	4.954	0.131
11	Default	4/17/2018	4:45 PM	350.53	8.763	4.053	2.16	2.02	40.00	230	4.335	0.071
12	Default	4/17/2018	4:45 PM	351.96	8.799	4.059	2.17	1.94	40.00	230	4.531	0.064
13	Default	4/17/2018	4:46 PM	166.15	4.154	1.924	2.16	1.82	40.00	230	2.281	0.010
14	Default	4/17/2018	4:47 PM	341.53	8.538	3.959	2.16	2.16	40.00	230	3.962	-0.017
15	Default	4/17/2018	4:48 PM	196.40	4.910	2.279	2.15	1.92	40.00	230	2.563	0.003
16	Default	4/17/2018	4:48 PM	228.41	5.710	2.625	2.18	2.15	40.00	230	2.658	-0.011
17	Default	4/17/2018	4:49 PM	384.84	9.621	4.447	2.16	2.24	40.00	230	4.301	0.034
C	Default	4/17/2018	4:49 PM	3.88	0.097	0.082	1.18	0.28	40.00	230	0.345	0.054
