Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
18	Default	4/18/2018	10:30 AM	403.99	10.100	4.672	2.16	2.22	40.00	230	4.545	-0.022
19	Default	4/18/2018	10:31 AM	-50.86	-1.272	-0.605	2.10	5.10	40.00	230	-0.250	6.333
19	Default	4/18/2018	10:31 AM	245.08	6.127	2.872	2.13	2.04	40.00	230	2.998	-0.074
20	Default	4/18/2018	10:32 AM	324.13	8.103	3.794	2.14	1.96	40.00	230	4.125	0.050
21	Default	4/18/2018	10:33 AM	226.68	5.667	2.593	2.19	2.26	40.00	230	2.506	0.009
22	Default	4/18/2018	10:34 AM	-36.28	-0.907	-0.320	2.83	23.79	40.00	230	-0.038	4.369
22	Default	4/18/2018	10:35 AM	238.63	5.966	2.795	2.13	1.80	40.00	230	3.320	0.001
23	Default	4/18/2018	10:36 AM	429.56	10.739	4.948	2.17	2.13	40.00	230	5.046	0.192
24	Default	4/18/2018	10:37 AM	529.72	13.243	6.172	2.15	2.14	40.00	230	6.197	-0.003
25	Default	4/18/2018	10:38 AM	-9.54	-0.239	1.860	-0.13	-0.10	40.00	230	2.455	6.443
25	Default	4/18/2018	10:38 AM	1033.60	25.840	12.109	2.13	2.26	40.00	230	11.453	0.102
26	Default	4/18/2018	10:39 AM	460.70	11.518	5.505	2.09	2.29	40.00	230	5.035	0.004
27	Default	4/18/2018	10:40 AM	275.81	6.895	3.155	2.19	2.41	40.00	230	2.861	0.038
28	Default	4/18/2018	10:41 AM	189.72	4.743	2.250	2.11	1.58	40.00	230	3.010	0.176
C	Default	4/18/2018	10:41 AM	2.52	0.063	0.019	3.25	0.20	40.00	230	0.315	0.104
