Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
81	Default	5/3/2018	1:36 PM	371.45	9.286	4.383	2.12	1.89	40.00	230	4.918	0.026
82	Default	5/3/2018	1:37 PM	454.93	11.373	5.421	2.10	2.18	40.00	230	5.228	0.020
83	Default	5/3/2018	1:38 PM	232.60	5.815	2.747	2.12	2.06	40.00	230	2.822	0.022
84	Default	5/3/2018	1:39 PM	306.59	7.665	3.531	2.17	2.37	40.00	230	3.233	0.003
85	Default	5/3/2018	1:40 PM	385.96	9.649	4.601	2.10	1.98	40.00	230	4.876	0.005
86	Default	5/3/2018	1:41 PM	271.83	6.796	3.223	2.11	1.72	40.00	230	3.940	0.016
87	Default	5/3/2018	1:43 PM	9.93	0.248	0.915	0.27	-0.19	40.00	230	-1.281	33.343
87	Default	5/3/2018	1:43 PM	345.62	8.640	4.088	2.11	2.23	40.00	230	3.882	0.016
88	Default	5/3/2018	1:44 PM	298.73	7.468	3.532	2.11	2.18	40.00	230	3.422	0.030
89	Default	5/3/2018	1:44 PM	355.38	8.884	4.192	2.12	2.19	40.00	230	4.049	0.033
90	Default	5/3/2018	1:45 PM	223.53	5.588	2.631	2.12	2.06	40.00	230	2.717	0.015
91	Default	5/3/2018	1:46 PM	112.36	2.809	1.337	2.10	1.47	40.00	230	1.907	0.003
92	Default	5/3/2018	1:47 PM	314.16	7.854	3.699	2.12	2.10	40.00	230	3.741	0.024
93	Default	5/3/2018	1:48 PM	240.28	6.007	2.838	2.12	2.28	40.00	230	2.635	0.009
94	Default	5/3/2018	1:49 PM	327.50	8.188	3.858	2.12	2.23	40.00	230	3.676	0.012
95	Default	5/3/2018	1:50 PM	161.98	4.049	1.915	2.11	1.88	40.00	230	2.156	0.011
96	Default	5/3/2018	1:50 PM	119.40	2.985	1.410	2.12	1.52	40.00	230	1.961	0.011
97	Default	5/3/2018	1:51 PM	331.57	8.289	3.928	2.11	2.13	40.00	230	3.900	0.013
98	Default	5/3/2018	1:52 PM	264.80	6.620	3.103	2.13	2.13	40.00	230	3.110	0.018
99	Default	5/3/2018	1:53 PM	204.23	5.106	2.367	2.16	2.34	40.00	230	2.184	0.011
100	Default	5/3/2018	1:54 PM	296.80	7.420	3.496	2.12	2.16	40.00	230	3.434	0.030
101	Default	5/3/2018	1:55 PM	139.72	3.493	1.650	2.12	1.63	40.00	230	2.148	0.028
102	Default	5/3/2018	1:55 PM	254.19	6.355	2.985	2.13	2.26	40.00	230	2.815	0.018
103	Default	5/3/2018	1:56 PM	395.13	9.878	4.574	2.16	2.50	40.00	230	3.955	0.027
104	Default	5/3/2018	1:57 PM	267.29	6.682	3.152	2.12	1.66	40.00	230	4.020	0.011
105	Default	5/3/2018	1:59 PM	248.60	6.215	2.933	2.12	1.86	40.00	230	3.347	0.015
106	Default	5/3/2018	2:00 PM	458.45	11.461	5.327	2.15	2.42	40.00	230	4.743	0.053
107	Default	5/3/2018	2:01 PM	310.82	7.771	3.628	2.14	2.01	40.00	230	3.865	0.006
108	Default	5/3/2018	2:03 PM	279.37	6.984	3.319	2.10	2.24	40.00	230	3.117	0.007
109	Default	5/3/2018	2:03 PM	323.72	8.093	3.825	2.12	2.15	40.00	230	3.770	0.004
110	Default	5/3/2018	2:04 PM	269.18	6.730	3.157	2.13	2.32	40.00	230	2.896	-0.002
111	Default	5/3/2018	2:05 PM	283.89	7.097	3.389	2.09	1.69	40.00	230	4.206	0.022
112	Default	5/3/2018	2:06 PM	305.41	7.635	3.582	2.13	1.86	40.00	230	4.115	-0.014
113	Default	5/3/2018	2:07 PM	283.50	7.087	3.345	2.12	2.21	40.00	230	3.210	0.035
114	Default	5/3/2018	2:07 PM	248.91	6.223	2.936	2.12	1.69	40.00	230	3.682	-0.006
115	Default	5/3/2018	2:08 PM	436.25	10.906	5.230	2.09	1.95	40.00	230	5.600	0.030
116	Default	5/3/2018	2:09 PM	257.35	6.434	3.058	2.10	1.98	40.00	230	3.245	0.013
117	Default	5/3/2018	2:10 PM	342.44	8.561	4.023	2.13	1.63	40.00	230	5.258	0.077
118	Default	5/3/2018	2:11 PM	273.70	6.842	3.223	2.12	1.59	40.00	230	4.295	-0.004
119	Default	5/3/2018	2:12 PM	252.37	6.309	2.947	2.14	1.61	40.00	230	3.908	0.011
120	Default	5/3/2018	2:13 PM	277.36	6.934	3.261	2.13	1.74	40.00	230	3.995	0.001
