Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw	Measurement Type	Serial #	Config. 
	Default	5/4/2018	1:32 PM	0.00	0.000	0.000	NaN	NaN	40.00	230	0.000	0.000	Blank	USB2G10059B4014	1.005099/0.02/128/24
121	Default	5/4/2018	1:33 PM	225.94	5.649	2.634	2.14	2.16	40.00	230	2.614	0.014	Measure	USB2G10059B4014	1.005099/0.02/128/24
122	Default	5/4/2018	1:34 PM	297.32	7.433	3.470	2.14	2.04	40.00	230	3.649	0.027	Measure	USB2G10059B4014	1.005099/0.02/128/24
123	Default	5/4/2018	1:35 PM	142.15	3.554	1.631	2.18	1.40	40.00	230	2.537	0.031	Measure	USB2G10059B4014	1.005099/0.02/128/24
124	Default	5/4/2018	1:36 PM	260.03	6.501	3.052	2.13	2.33	40.00	230	2.788	0.021	Measure	USB2G10059B4014	1.005099/0.02/128/24
125	Default	5/4/2018	1:37 PM	348.01	8.700	4.096	2.12	2.34	40.00	230	3.722	-0.001	Measure	USB2G10059B4014	1.005099/0.02/128/24
126	Default	5/4/2018	1:38 PM	322.92	8.073	3.748	2.15	2.14	40.00	230	3.773	0.043	Measure	USB2G10059B4014	1.005099/0.02/128/24
127	Default	5/4/2018	1:39 PM	291.52	7.288	3.402	2.14	2.18	40.00	230	3.336	0.030	Measure	USB2G10059B4014	1.005099/0.02/128/24
128	Default	5/4/2018	1:39 PM	317.27	7.932	3.745	2.12	2.16	40.00	230	3.667	0.014	Measure	USB2G10059B4014	1.005099/0.02/128/24
129	Default	5/4/2018	1:41 PM	382.64	9.566	4.505	2.12	2.33	40.00	230	4.112	0.003	Measure	USB2G10059B4014	1.005099/0.02/128/24
130	Default	5/4/2018	1:41 PM	9.04	0.226	0.091	2.50	0.38	40.00	230	0.593	0.037	Measure	USB2G10059B4014	1.005099/0.02/128/24
130	Default	5/4/2018	1:42 PM	9.39	0.235	0.106	2.21	0.39	40.00	230	0.598	0.021	Measure	USB2G10059B4014	1.005099/0.02/128/24
131	Default	5/4/2018	1:44 PM	21.62	0.540	0.235	2.30	0.77	40.00	230	0.704	0.005	Measure	USB2G10059B4014	1.005099/0.02/128/24
132	Default	5/4/2018	1:45 PM	282.95	7.074	3.314	2.13	2.26	40.00	230	3.133	0.066	Measure	USB2G10059B4014	1.005099/0.02/128/24
133	Default	5/4/2018	1:46 PM	275.31	6.883	3.239	2.12	2.19	40.00	230	3.139	0.015	Measure	USB2G10059B4014	1.005099/0.02/128/24
134	Default	5/4/2018	1:48 PM	358.02	8.951	4.221	2.12	2.00	40.00	230	4.464	0.035	Measure	USB2G10059B4014	1.005099/0.02/128/24
135	Default	5/4/2018	1:48 PM	45.34	1.133	0.543	2.09	1.03	40.00	230	1.105	0.031	Measure	USB2G10059B4014	1.005099/0.02/128/24
136	Default	5/4/2018	1:49 PM	386.72	9.668	4.576	2.11	2.28	40.00	230	4.245	0.018	Measure	USB2G10059B4014	1.005099/0.02/128/24
137	Default	5/4/2018	1:50 PM	258.51	6.463	3.034	2.13	1.93	40.00	230	3.346	0.028	Measure	USB2G10059B4014	1.005099/0.02/128/24
138	Default	5/4/2018	1:51 PM	32.78	0.820	0.382	2.15	0.91	40.00	230	0.902	0.002	Measure	USB2G10059B4014	1.005099/0.02/128/24
139	Default	5/4/2018	1:52 PM	10.38	0.260	0.117	2.21	0.32	40.00	230	0.810	0.008	Measure	USB2G10059B4014	1.005099/0.02/128/24
140	Default	5/4/2018	1:53 PM	561.74	14.043	6.469	2.17	2.18	40.00	230	6.430	0.322	Measure	USB2G10059B4014	1.005099/0.02/128/24
141	Default	5/4/2018	1:55 PM	59.46	1.486	0.691	2.15	0.51	40.00	230	2.911	0.008	Measure	USB2G10059B4014	1.005099/0.02/128/24
142	Default	5/4/2018	1:56 PM	24.25	0.606	0.292	2.07	0.92	40.00	230	0.660	0.010	Measure	USB2G10059B4014	1.005099/0.02/128/24
143	Default	5/4/2018	1:57 PM	255.07	6.377	2.973	2.14	2.14	40.00	230	2.976	0.019	Measure	USB2G10059B4014	1.005099/0.02/128/24
144	Default	5/4/2018	1:58 PM	192.95	4.824	2.256	2.14	1.94	40.00	230	2.491	0.019	Measure	USB2G10059B4014	1.005099/0.02/128/24
145	Default	5/4/2018	1:59 PM	329.70	8.243	3.903	2.11	2.18	40.00	230	3.773	0.024	Measure	USB2G10059B4014	1.005099/0.02/128/24
146	Default	5/4/2018	2:00 PM	240.02	6.000	2.832	2.12	2.18	40.00	230	2.750	0.001	Measure	USB2G10059B4014	1.005099/0.02/128/24
147	Default	5/4/2018	2:00 PM	230.85	5.771	2.690	2.15	2.22	40.00	230	2.604	0.007	Measure	USB2G10059B4014	1.005099/0.02/128/24
148	Default	5/4/2018	2:01 PM	165.66	4.142	1.932	2.14	2.04	40.00	230	2.034	0.010	Measure	USB2G10059B4014	1.005099/0.02/128/24
149	Default	5/4/2018	2:02 PM	375.38	9.385	4.407	2.13	1.94	40.00	230	4.846	0.028	Measure	USB2G10059B4014	1.005099/0.02/128/24
150	Default	5/4/2018	2:03 PM	338.12	8.453	3.977	2.13	2.27	40.00	230	3.724	-0.003	Measure	USB2G10059B4014	1.005099/0.02/128/24
151	Default	5/4/2018	2:04 PM	444.74	11.118	5.294	2.10	2.23	40.00	230	4.995	-0.001	Measure	USB2G10059B4014	1.005099/0.02/128/24
152	Default	5/4/2018	2:05 PM	8.24	0.206	0.066	3.12	0.47	40.00	230	0.437	-0.000	Measure	USB2G10059B4014	1.005099/0.02/128/24
153	Default	5/4/2018	2:06 PM	254.48	6.362	2.985	2.13	1.96	40.00	230	3.250	0.014	Measure	USB2G10059B4014	1.005099/0.02/128/24
154	Default	5/4/2018	2:07 PM	270.64	6.766	3.154	2.15	2.24	40.00	230	3.027	0.027	Measure	USB2G10059B4014	1.005099/0.02/128/24
155	Default	5/4/2018	2:08 PM	292.82	7.320	3.417	2.14	2.23	40.00	230	3.276	0.000	Measure	USB2G10059B4014	1.005099/0.02/128/24
156	Default	5/4/2018	2:08 PM	15.47	0.387	0.193	2.00	0.16	40.00	230	2.377	-0.007	Measure	USB2G10059B4014	1.005099/0.02/128/24
157	Default	5/4/2018	2:10 PM	240.71	6.018	2.811	2.14	2.06	40.00	230	2.922	0.022	Measure	USB2G10059B4014	1.005099/0.02/128/24
158	Default	5/4/2018	2:10 PM	229.75	5.744	2.679	2.14	2.17	40.00	230	2.644	-0.002	Measure	USB2G10059B4014	1.005099/0.02/128/24
