Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
175	Default	5/7/2018	3:14 PM	102.48	2.050	0.973	2.11	1.41	50.00	230	1.450	0.154
175	Default	5/7/2018	3:14 PM	81.40	2.035	0.948	2.15	1.47	40.00	230	1.386	0.020
176	Default	5/7/2018	3:15 PM	106.32	2.658	1.261	2.11	1.50	40.00	230	1.774	0.004
177	Default	5/7/2018	3:16 PM	234.58	5.864	2.742	2.14	1.99	40.00	230	2.941	0.009
178	Default	5/7/2018	3:16 PM	137.33	3.433	1.586	2.17	1.79	40.00	230	1.917	0.022
179	Default	5/7/2018	3:17 PM	234.21	5.855	2.728	2.15	2.07	40.00	230	2.826	0.034
180	Default	5/7/2018	3:17 PM	158.95	3.974	1.834	2.17	1.66	40.00	230	2.391	-0.031
181	Default	5/7/2018	3:18 PM	283.66	7.091	3.322	2.13	2.25	40.00	230	3.154	0.023
182	Default	5/7/2018	3:19 PM	13.03	0.326	0.130	2.51	0.05	40.00	230	6.889	0.071
182	Default	5/7/2018	3:19 PM	13.56	0.339	0.139	2.44	0.05	40.00	230	6.834	0.016
183	Default	5/7/2018	3:21 PM	151.50	3.787	1.761	2.15	1.83	40.00	230	2.073	0.025
184	Default	5/7/2018	3:22 PM	120.68	3.017	1.426	2.11	1.41	40.00	230	2.136	0.019
185	Default	5/7/2018	3:23 PM	29.55	0.739	0.316	2.34	0.99	40.00	230	0.745	0.092
186	Default	5/7/2018	3:24 PM	135.36	3.384	1.609	2.10	1.16	40.00	230	2.924	0.066
187	Default	5/7/2018	3:24 PM	186.89	4.672	2.171	2.15	1.94	40.00	230	2.409	0.018
188	Default	5/7/2018	3:24 PM	210.66	5.266	2.430	2.17	2.18	40.00	230	2.412	0.032
189	Default	5/7/2018	3:25 PM	200.53	5.013	2.363	2.12	2.09	40.00	230	2.400	-0.009
190	Default	5/7/2018	3:25 PM	175.59	4.390	2.045	2.15	1.93	40.00	230	2.274	0.019
191	Default	5/7/2018	3:26 PM	204.07	5.102	2.404	2.12	1.65	40.00	230	3.090	0.008
192	Default	5/7/2018	3:26 PM	480.60	12.015	5.666	2.12	2.10	40.00	230	5.710	0.044
