Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
C	Default	5/8/2018	2:27 PM	4.42	0.111	0.073	1.52	0.30	40.00	230	0.372	0.128
301	Default	5/8/2018	2:28 PM	19.23	0.481	0.231	2.08	0.58	40.00	230	0.824	0.001
301	Default	5/8/2018	2:28 PM	19.28	0.482	0.228	2.12	0.57	40.00	230	0.848	0.006
302	Default	5/8/2018	2:29 PM	17.09	0.427	0.178	2.40	0.20	40.00	230	2.107	0.026
303	Default	5/8/2018	2:29 PM	177.53	4.438	2.060	2.15	1.27	40.00	230	3.487	0.018
304	Default	5/8/2018	2:30 PM	17.37	0.434	0.201	2.16	0.55	40.00	230	0.787	-0.007
305	Default	5/8/2018	2:30 PM	22.03	0.551	0.264	2.08	0.56	40.00	230	0.987	-0.001
306	Default	5/8/2018	2:30 PM	373.93	9.348	4.377	2.14	2.09	40.00	230	4.467	0.010
307	Default	5/8/2018	2:31 PM	386.39	9.660	4.537	2.13	1.83	40.00	230	5.265	0.010
308	Default	5/8/2018	2:31 PM	337.25	8.431	3.900	2.16	2.25	40.00	230	3.741	0.021
309	Default	5/8/2018	2:32 PM	26.91	0.673	0.292	2.31	0.90	40.00	230	0.745	-0.001
310	Default	5/8/2018	2:32 PM	53.00	1.325	0.666	1.99	1.01	40.00	230	1.308	0.019
311	Default	5/8/2018	2:33 PM	404.53	10.113	4.787	2.11	2.28	40.00	230	4.436	0.021
312	Default	5/8/2018	2:33 PM	162.47	4.062	1.913	2.12	1.82	40.00	230	2.227	0.017
313	Default	5/8/2018	2:33 PM	382.01	9.550	4.484	2.13	1.86	40.00	230	5.126	0.026
314	Default	5/8/2018	2:34 PM	466.74	11.668	5.562	2.10	2.18	40.00	230	5.360	0.019
315	Default	5/8/2018	2:34 PM	572.56	14.314	6.673	2.14	2.16	40.00	230	6.618	0.074
316	Default	5/8/2018	2:35 PM	385.61	9.640	4.551	2.12	2.19	40.00	230	4.408	0.007
317	Default	5/8/2018	2:35 PM	294.00	7.350	3.476	2.11	2.26	40.00	230	3.248	0.015
318	Default	5/8/2018	2:35 PM	467.99	11.700	5.569	2.10	2.23	40.00	230	5.249	0.004
319	Default	5/8/2018	2:36 PM	356.95	8.924	4.211	2.12	1.92	40.00	230	4.652	0.010
320	Default	5/8/2018	2:36 PM	13.45	0.336	0.175	1.92	0.75	40.00	230	0.447	0.000
321	Default	5/8/2018	2:37 PM	312.10	7.802	3.662	2.13	2.28	40.00	230	3.420	0.020
322	Default	5/8/2018	2:37 PM	17.37	0.434	0.210	2.06	0.87	40.00	230	0.498	-0.005
323	Default	5/8/2018	2:37 PM	16.93	0.423	0.224	1.89	0.84	40.00	230	0.503	-0.009
324	Default	5/8/2018	2:38 PM	28.70	0.717	0.326	2.20	0.45	40.00	230	1.595	0.010
325	Default	5/8/2018	2:38 PM	56.99	1.425	0.678	2.10	1.30	40.00	230	1.097	0.007
326	Default	5/8/2018	2:38 PM	13.49	0.337	0.150	2.25	0.47	40.00	230	0.710	0.005
327	Default	5/8/2018	2:39 PM	304.79	7.620	3.580	2.13	2.23	40.00	230	3.419	0.002
328	Default	5/8/2018	2:39 PM	121.41	3.035	1.423	2.13	1.90	40.00	230	1.598	0.007
329	Default	5/8/2018	2:39 PM	16.89	0.422	0.202	2.09	0.08	40.00	230	5.613	0.058
330	Default	5/8/2018	2:40 PM	27.00	0.675	0.325	2.08	0.84	40.00	230	0.804	0.006
331	Default	5/8/2018	2:40 PM	50.43	1.261	0.599	2.11	1.43	40.00	230	0.885	0.019
332	Default	5/8/2018	2:41 PM	319.38	7.985	3.746	2.13	2.02	40.00	230	3.950	0.015
333	Default	5/8/2018	2:41 PM	27.64	0.691	0.321	2.15	0.84	40.00	230	0.821	0.016
334	Default	5/8/2018	2:41 PM	58.90	1.473	0.721	2.04	0.86	40.00	230	1.719	0.014
335	Default	5/8/2018	2:42 PM	43.62	1.091	0.532	2.05	1.06	40.00	230	1.031	-0.005
336	Default	5/8/2018	2:42 PM	308.13	7.703	3.608	2.14	2.25	40.00	230	3.426	0.016
337	Default	5/8/2018	2:42 PM	147.38	3.684	1.722	2.14	1.45	40.00	230	2.540	0.009
338	Default	5/8/2018	2:43 PM	352.30	8.808	4.134	2.13	2.10	40.00	230	4.190	0.018
339	Default	5/8/2018	2:43 PM	91.08	2.277	1.060	2.15	0.91	40.00	230	2.501	0.007
340	Default	5/8/2018	2:44 PM	261.22	6.531	3.031	2.15	2.00	40.00	230	3.264	0.006
341	Default	5/8/2018	2:44 PM	224.79	5.620	2.638	2.13	1.64	40.00	230	3.432	-0.016
