ID,ng_ul ,finalVol,dil.factor
1,197.51,49.4,9.9
2,400.43,100.1,20
3,345.31,86.3,17.3
4,384.6,96.2,19.2
5,322.62,80.7,16.1
6,316.24,79.1,15.8
7,358.97,89.7,17.9
8,331.63,82.9,16.6
9,334.49,83.6,16.7
10,370.59,92.6,18.5
11,350.53,87.6,17.5
12,351.96,88,17.6
13,166.15,41.5,8.3
14,341.53,85.4,17.1
15,196.4,49.1,9.8
16,228.41,57.1,11.4
17,384.84,96.2,19.2
18,403.99,101,20.2
19,245.08,61.3,12.3
20,324.13,81,16.2
21,226.68,56.7,11.3
22,238.63,59.7,11.9
23,429.56,107.4,21.5
24,529.72,132.4,26.5
25,1033.6,258.4,51.7
26,460.7,115.2,23
27,275.81,69,13.8
28,189.72,47.4,9.5
29,229.87,57.5,11.5
30,293.73,73.4,14.7
31,269.89,67.5,13.5
32,61.49,46.1,3.1
33,178.54,44.6,8.9
34,277.6,69.4,13.9
35,261.7,65.4,13.1
36,162.28,40.6,8.1
37,153.87,76.9,7.7
38,122.13,61.1,6.1
39,172.04,43,8.6
40,246.41,61.6,12.3
41,296.89,74.2,14.8
42,32.95,49.4,1.6
43,197.26,49.3,9.9
44,157.94,39.5,7.9
45,193.21,48.3,9.7
46,191.02,47.8,9.6
47,139.42,69.7,7
48,105.71,52.9,5.3
49,124.87,62.4,6.2
50,117.84,58.9,5.9
51,255.07,63.8,12.8
52,109.88,54.9,5.5
53,77.68,58.3,3.9
54,165.5,41.4,8.3
55,162.68,40.7,8.1
56,166.87,41.7,8.3
57,227.65,56.9,11.4
58,234.64,58.7,11.7
59,202.36,50.6,10.1
60,215.81,54,10.8
61,67.01,50.3,3.4
62,73.82,55.4,3.7
63,85.18,42.6,4.3
64,136.6,68.3,6.8
65,105.26,52.6,5.3
66,117.24,58.6,5.9
67,260.94,65.2,13
68,178.14,44.5,8.9
69,199.41,49.9,10
70,200.17,50,10
71,85.12,42.6,4.3
72,65.77,49.3,3.3
