# Experiment File Name : 20180604_TempVar_HBCorgi_Run13.eds
# Created By :alexburn17@gmail.com
# Last Modified Date : 2018-07-28 08:08:18 AM
# Instrument Type : StepOnePlus System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","1","DWV","1.315","Amp","UNKNOWN","28.971","28.691","0.396","57.26","69.777","17.702","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","24.0","false",
"A2","3","DWV","0.488","No Amp","UNKNOWN","Undetermined","34.875","-","1.52891873E10","1.253","-","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","39.0","false",
"A3","4","DWV","1.299","Amp","UNKNOWN","34.400","33.97","0.608","1.704","2.338","0.897","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","29.0","false",
"A4","5","DWV","1.335","Amp","UNKNOWN","33.635","34.312","0.959","2.796","1.979","1.155","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","29.0","false",
"A5","6","DWV","1.327","Amp","UNKNOWN","29.418","29.33","0.124","42.874","45.453","3.647","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","24.0","false",
"A6","8","DWV","1.317","Amp","UNKNOWN","35.646","35.646","-","0.761","0.761","-","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","31.0","false",
"A7","10","DWV","1.313","Amp","UNKNOWN","34.489","34.819","0.466","1.608","1.328","0.395","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","30.0","false",
"A8","11","DWV","1.331","Amp","UNKNOWN","34.216","34.216","-","1.919","1.919","-","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","29.0","false",
"A9","12","DWV","1.319","Amp","UNKNOWN","32.950","32.849","0.143","4.356","4.66","0.429","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","28.0","false",
"A10","13","DWV","1.126","No Amp","UNKNOWN","38.147","35.727","3.423","0.151","1.804","2.339","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","33.0","false",
"A11","15","DWV","1.327","Amp","UNKNOWN","30.519","30.174","0.488","21.018","26.934","8.367","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","25.0","false",
"A12","16","DWV","1.332","Amp","UNKNOWN","28.968","28.977","0.012","57.343","57.024","0.451","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","24.0","false",
"B1","1","DWV","1.307","Amp","UNKNOWN","28.410","28.691","0.396","82.294","69.777","17.702","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","23.0","false",
"B2","3","DWV","1.333","Amp","UNKNOWN","34.875","34.875","-","1.253","1.253","-","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","30.0","false",
"B3","4","DWV","1.27","Amp","UNKNOWN","33.540","33.97","0.608","2.973","2.338","0.897","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","29.0","false",
"B4","5","DWV","1.327","Amp","UNKNOWN","34.990","34.312","0.959","1.163","1.979","1.155","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","30.0","false",
"B5","6","DWV","1.333","Amp","UNKNOWN","29.242","29.33","0.124","48.032","45.453","3.647","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","24.0","false",
"B6","8","DWV","0.0","No Amp","UNKNOWN","Undetermined","35.646","-","1.52891873E10","0.761","-","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","39.0","false",
"B7","10","DWV","1.324","Amp","UNKNOWN","35.149","34.819","0.466","1.049","1.328","0.395","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","30.0","false",
"B8","11","DWV","0.509","No Amp","UNKNOWN","Undetermined","34.216","-","1.52891873E10","1.919","-","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","39.0","false",
"B9","12","DWV","1.332","Amp","UNKNOWN","32.748","32.849","0.143","4.964","4.66","0.429","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","28.0","false",
"B10","13","DWV","1.323","Amp","UNKNOWN","33.306","35.727","3.423","3.458","1.804","2.339","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","28.0","false",
"B11","15","DWV","1.321","Amp","UNKNOWN","29.829","30.174","0.488","32.85","26.934","8.367","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","25.0","false",
"B12","16","DWV","1.33","Amp","UNKNOWN","28.986","28.977","0.012","56.705","57.024","0.451","35.2228","0.993","-3.5567","91.05548","false","0.137","true","3.0","24.0","false",
"C1","1","BQCV","1.315","Amp","UNKNOWN","23.872","24.0","0.181","1502.408","1384.268","167.075","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","18.0","false",
"C2","3","BQCV","1.331","Amp","UNKNOWN","25.207","25.27","0.089","615.318","590.44","35.182","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","20.0","false",
"C3","4","BQCV","1.321","Amp","UNKNOWN","26.943","27.057","0.161","192.572","179.006","19.186","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","22.0","false",
"C4","5","BQCV","1.336","Amp","UNKNOWN","31.713","32.93","1.721","7.925","4.74","4.504","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","26.0","false",
"C5","6","BQCV","1.34","Amp","UNKNOWN","25.194","25.317","0.174","620.64","573.648","66.456","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","20.0","false",
"C6","8","BQCV","1.33","Amp","UNKNOWN","27.150","27.221","0.101","167.73","160.091","10.803","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","22.0","false",
"C7","10","BQCV","1.334","Amp","UNKNOWN","29.864","30.028","0.232","27.292","24.607","3.798","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","25.0","false",
"C8","11","BQCV","1.331","Amp","UNKNOWN","21.755","21.801","0.065","6191.622","6006.386","261.962","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","17.0","false",
"C9","12","BQCV","1.307","Amp","UNKNOWN","26.829","26.923","0.134","207.926","195.555","17.496","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","22.0","false",
"C10","13","BQCV","1.323","Amp","UNKNOWN","27.791","27.791","-","109.214","109.214","-","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","23.0","false",
"C11","15","BQCV","1.254","Amp","UNKNOWN","28.893","28.902","0.012","52.253","51.954","0.424","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","24.0","false",
"C12","16","BQCV","1.317","Amp","UNKNOWN","31.154","31.32","0.235","11.518","10.369","1.626","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","26.0","false",
"D1","1","BQCV","1.315","Amp","UNKNOWN","24.128","24.0","0.181","1266.128","1384.268","167.075","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","19.0","false",
"D2","3","BQCV","1.323","Amp","UNKNOWN","25.333","25.27","0.089","565.562","590.44","35.182","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","20.0","false",
"D3","4","BQCV","1.339","Amp","UNKNOWN","27.170","27.057","0.161","165.439","179.006","19.186","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","22.0","false",
"D4","5","BQCV","1.338","Amp","UNKNOWN","34.147","32.93","1.721","1.556","4.74","4.504","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","29.0","false",
"D5","6","BQCV","1.32","Amp","UNKNOWN","25.439","25.317","0.174","526.657","573.648","66.456","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","20.0","false",
"D6","8","BQCV","1.341","Amp","UNKNOWN","27.293","27.221","0.101","152.453","160.091","10.803","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","22.0","false",
"D7","10","BQCV","1.334","Amp","UNKNOWN","30.192","30.028","0.232","21.922","24.607","3.798","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","25.0","false",
"D8","11","BQCV","1.34","Amp","UNKNOWN","21.847","21.801","0.065","5821.151","6006.386","261.962","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","17.0","false",
"D9","12","BQCV","1.322","Amp","UNKNOWN","27.018","26.923","0.134","183.183","195.555","17.496","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","22.0","false",
"D10","13","BQCV","0.549","No Amp","UNKNOWN","Undetermined","27.791","-","2.52624323E10","109.214","-","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","24.0","false",
"D11","15","BQCV","1.324","Amp","UNKNOWN","28.911","28.902","0.012","51.654","51.954","0.424","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","24.0","false",
"D12","16","BQCV","1.313","Amp","UNKNOWN","31.487","31.32","0.235","9.219","10.369","1.626","34.8074","0.9981","-3.4422","95.21442","false","0.149","true","3.0","26.0","false",
"E1","1","ACTIN","1.435","Amp","UNKNOWN","15.101","15.073","0.04","975469.3","993378.5","25327.436","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","9.0","false",
"E2","3","ACTIN","1.436","Amp","UNKNOWN","15.939","15.916","0.033","569388.3","577929.4","12078.924","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","10.0","false",
"E3","4","ACTIN","1.44","Amp","UNKNOWN","15.897","15.959","0.089","585242.9","562625.0","31986.44","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","10.0","false",
"E4","5","ACTIN","1.428","Amp","UNKNOWN","16.529","16.492","0.053","389855.3","399392.94","13488.257","36.5667","0.9988","-3.584","90.11565","false","0.267","true","3.0","11.0","false",
