# Experiment File Name : 20180607_Burnham_TempVar_34-48_Run15.eds
# Created By :alexburn17@gmail.com
# Last Modified Date : 2018-07-28 08:08:19 AM
# Instrument Type : StepOnePlus System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","34","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"A2","35","DWV","1.288","Amp","UNKNOWN","31.254","31.412","0.224","13.058","11.849","1.71","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","28.0","false",
"A3","36","DWV","0.601","No Amp","UNKNOWN","39.835","39.835","-","0.05","0.05","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","35.0","false",
"A4","37","DWV","1.307","Amp","UNKNOWN","29.873","29.761","0.158","31.933","34.424","3.522","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","27.0","false",
"A5","38","DWV","1.189","Inconclusive","UNKNOWN","35.215","35.233","0.025","1.005","0.994","0.016","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","32.0","false",
"A6","39","DWV","0.0","No Amp","UNKNOWN","Undetermined","36.993","-","1.52891873E10","0.318","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"A7","40","DWV","1.31","Amp","UNKNOWN","26.397","26.282","0.162","303.046","327.243","34.22","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","23.0","false",
"A8","41","DWV","1.254","Amp","UNKNOWN","32.728","32.728","-","5.028","5.028","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","30.0","false",
"A9","42","DWV","0.0","No Amp","UNKNOWN","Undetermined","32.465","-","1.52891873E10","5.961","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"A10","43","DWV","1.312","Amp","UNKNOWN","29.923","29.649","0.387","30.908","37.489","9.306","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","27.0","false",
"A11","44","DWV","0.578","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","35.0","false",
"A12","45","DWV","1.301","Amp","UNKNOWN","28.831","29.005","0.246","62.689","56.365","8.943","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","26.0","false",
"B1","34","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"B2","35","DWV","1.298","Amp","UNKNOWN","31.570","31.412","0.224","10.64","11.849","1.71","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","28.0","false",
"B3","36","DWV","0.0","No Amp","UNKNOWN","Undetermined","39.835","-","1.52891873E10","0.05","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"B4","37","DWV","1.303","Amp","UNKNOWN","29.649","29.761","0.158","36.915","34.424","3.522","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","26.0","false",
"B5","38","DWV","1.241","Inconclusive","UNKNOWN","35.251","35.233","0.025","0.982","0.994","0.016","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","32.0","false",
"B6","39","DWV","1.066","No Amp","UNKNOWN","36.993","36.993","-","0.318","0.318","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","34.0","false",
"B7","40","DWV","1.315","Amp","UNKNOWN","26.168","26.282","0.162","351.441","327.243","34.22","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","23.0","false",
"B8","41","DWV","0.0","No Amp","UNKNOWN","Undetermined","32.728","-","1.52891873E10","5.028","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"B9","42","DWV","1.269","Amp","UNKNOWN","32.465","32.465","-","5.961","5.961","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","29.0","false",
"B10","43","DWV","1.3","Amp","UNKNOWN","29.375","29.649","0.387","44.07","37.489","9.306","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","26.0","false",
"B11","44","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"B12","45","DWV","1.292","Amp","UNKNOWN","29.179","29.005","0.246","50.041","56.365","8.943","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","26.0","false",
"C1","34","BQCV","1.318","Amp","UNKNOWN","28.298","28.268","0.043","77.79","79.396","2.271","34.8074","0.9981","-3.4422","95.21442","true","0.106","true","3.0","24.0","false",
"C2","35","BQCV","1.318","Amp","UNKNOWN","23.163","23.163","0.0","2413.89","2414.188","0.423","34.8074","0.9981","-3.4422","95.21442","true","0.106","true","3.0","18.0","false",
"C3","36","BQCV","1.309","Amp","UNKNOWN","29.791","29.655","0.193","28.659","31.533","4.065","34.8074","0.9981","-3.4422","95.21442","true","0.106","true","3.0","25.0","false",
"C4","37","BQCV","1.317","Amp","UNKNOWN","31.406","31.483","0.109","9.73","9.253","0.676","34.8074","0.9981","-3.4422","95.21442","true","0.106","true","3.0","27.0","false",
"C5","38","BQCV","1.325","Amp","UNKNOWN","31.642","31.773","0.185","8.312","7.644","0.946","34.8074","0.9981","-3.4422","95.21442","true","0.106","true","3.0","27.0","false",
"C6","39","BQCV","1.311","Amp","UNKNOWN","31.803","31.853","0.071","7.461","7.22","0.341","34.8074","0.9981","-3.4422","95.21442","true","0.106","true","3.0","27.0","false",
"C7","40","BQCV","1.312","Amp","UNKNOWN","26.331","26.203","0.182","289.996","317.272","38.575","34.8074","0.9981","-3.4422","95.21442","true","0.106","true","3.0","22.0","false",
"C8","41","BQCV","1.324","Amp","UNKNOWN","25.702","25.514","0.266","441.852","505.086","89.426","34.8074","0.9981","-3.4422","95.21442","true","0.106","true","3.0","21.0","false",
"C9","42","BQCV","0.0","No Amp","UNKNOWN","Undetermined","-","-","2.52624323E10","-","-","34.8074","0.9981","-3.4422","95.21442","true","0.106","true","3.0","39.0","false",
"C10","43","BQCV","1.314","Amp","UNKNOWN","25.067","25.149","0.116","675.644","640.517","49.677","34.8074","0.9981","-3.4422","95.21442","true","0.106","true","3.0","20.0","false",
"C11","44","BQCV","1.318","Amp","UNKNOWN","27.919","27.665","0.359","100.288","120.599","28.724","34.8074","0.9981","-3.4422","95.21442","true","0.106","true","3.0","23.0","false",
"C12","45","BQCV","1.324","Amp","UNKNOWN","20.928","20.9","0.039","10770.917","10971.604","283.815","34.8074","0.9981","-3.4422","95.21442","true","0.106","true","3.0","16.0","false",
"D1","34","BQCV","1.325","Amp","UNKNOWN","28.238","28.268","0.043","81.001","79.396","2.271","34.8074","0.9981","-3.4422","95.21442","true","0.106","true","3.0","24.0","false",
"D2","35","BQCV","1.305","Amp","UNKNOWN","23.163","23.163","0.0","2414.487","2414.188","0.423","34.8074","0.9981","-3.4422","95.21442","true","0.106","true","3.0","19.0","false",
"D3","36","BQCV","1.277","Amp","UNKNOWN","29.518","29.655","0.193","34.407","31.533","4.065","34.8074","0.9981","-3.4422","95.21442","true","0.106","true","3.0","25.0","false",
"D4","37","BQCV","1.277","Amp","UNKNOWN","31.561","31.483","0.109","8.775","9.253","0.676","34.8074","0.9981","-3.4422","95.21442","true","0.106","true","3.0","27.0","false",
"D5","38","BQCV","1.309","Amp","UNKNOWN","31.904","31.773","0.185","6.975","7.644","0.946","34.8074","0.9981","-3.4422","95.21442","true","0.106","true","3.0","27.0","false",
"D6","39","BQCV","1.296","Amp","UNKNOWN","31.903","31.853","0.071","6.979","7.22","0.341","34.8074","0.9981","-3.4422","95.21442","true","0.106","true","3.0","27.0","false",
"D7","40","BQCV","1.302","Amp","UNKNOWN","26.074","26.203","0.182","344.548","317.272","38.575","34.8074","0.9981","-3.4422","95.21442","true","0.106","true","3.0","21.0","false",
"D8","41","BQCV","1.325","Amp","UNKNOWN","25.326","25.514","0.266","568.32","505.086","89.426","34.8074","0.9981","-3.4422","95.21442","true","0.106","true","3.0","21.0","false",
"D9","42","BQCV","0.0","No Amp","UNKNOWN","Undetermined","-","-","2.52624323E10","-","-","34.8074","0.9981","-3.4422","95.21442","true","0.106","true","3.0","39.0","false",
"D10","43","BQCV","1.307","Amp","UNKNOWN","25.231","25.149","0.116","605.39","640.517","49.677","34.8074","0.9981","-3.4422","95.21442","true","0.106","true","3.0","21.0","false",
"D11","44","BQCV","1.31","Amp","UNKNOWN","27.410","27.665","0.359","140.91","120.599","28.724","34.8074","0.9981","-3.4422","95.21442","true","0.106","true","3.0","23.0","false",
"D12","45","BQCV","1.326","Amp","UNKNOWN","20.873","20.9","0.039","11172.291","10971.604","283.815","34.8074","0.9981","-3.4422","95.21442","true","0.106","true","3.0","16.0","false",
"E1","34","ACTIN","1.417","Amp","UNKNOWN","21.429","21.153","0.39","16738.07","20296.965","5033.035","36.5667","0.9988","-3.584","90.11565","true","0.214","true","3.0","16.0","false",
"E2","35","ACTIN","1.421","Amp","UNKNOWN","16.018","16.073","0.077","541162.5","522923.7","25793.543","36.5667","0.9988","-3.584","90.11565","true","0.214","true","3.0","11.0","false",
"E3","36","ACTIN","1.421","Amp","UNKNOWN","15.588","15.66","0.101","713431.06","682175.5","44202.016","36.5667","0.9988","-3.584","90.11565","true","0.214","true","3.0","10.0","false",
"E4","37","ACTIN","1.428","Amp","UNKNOWN","15.809","15.856","0.067","619067.6","600849.9","25763.781","36.5667","0.9988","-3.584","90.11565","true","0.214","true","3.0","10.0","false",
"E5","38","ACTIN","1.406","Amp","UNKNOWN","17.583","16.888","0.983","198054.33","340911.12","202030.03","36.5667","0.9988","-3.584","90.11565","true","0.214","true","3.0","12.0","false",
"E6","39","ACTIN","1.423","Amp","UNKNOWN","15.432","15.29","0.201","788680.2","867603.94","111615.05","36.5667","0.9988","-3.584","90.11565","true","0.214","true","3.0","10.0","false",
"E7","40","ACTIN","1.422","Amp","UNKNOWN","15.170","15.114","0.08","933172.9","968197.9","49532.848","36.5667","0.9988","-3.584","90.11565","true","0.214","true","3.0","10.0","false",
"E8","41","ACTIN","1.446","Amp","UNKNOWN","15.035","15.056","0.03","1018192.6","1004375.75","19540.033","36.5667","0.9988","-3.584","90.11565","true","0.214","true","3.0","10.0","false",
"E9","42","ACTIN","1.394","Amp","UNKNOWN","17.374","17.378","0.005","226454.14","225984.48","664.197","36.5667","0.9988","-3.584","90.11565","true","0.214","true","3.0","12.0","false",
"E10","43","ACTIN","1.434","Amp","UNKNOWN","14.771","14.848","0.109","1206234.8","1149256.0","80580.125","36.5667","0.9988","-3.584","90.11565","true","0.214","true","3.0","9.0","false",
"E11","44","ACTIN","1.42","Amp","UNKNOWN","15.747","15.653","0.133","644172.9","685518.44","58471.492","36.5667","0.9988","-3.584","90.11565","true","0.214","true","3.0","10.0","false",
"E12","45","ACTIN","1.414","Amp","UNKNOWN","15.648","15.648","-","686704.56","686704.56","-","36.5667","0.9988","-3.584","90.11565","true","0.214","true","3.0","10.0","false",
"F1","34","ACTIN","1.427","Amp","UNKNOWN","20.877","21.153","0.39","23855.857","20296.965","5033.035","36.5667","0.9988","-3.584","90.11565","true","0.214","true","3.0","15.0","false",
"F2","35","ACTIN","1.431","Amp","UNKNOWN","16.127","16.073","0.077","504684.9","522923.7","25793.543","36.5667","0.9988","-3.584","90.11565","true","0.214","true","3.0","11.0","false",
"F3","36","ACTIN","1.417","Amp","UNKNOWN","15.731","15.66","0.101","650919.94","682175.5","44202.016","36.5667","0.9988","-3.584","90.11565","true","0.214","true","3.0","10.0","false",
"F4","37","ACTIN","1.421","Amp","UNKNOWN","15.904","15.856","0.067","582632.1","600849.9","25763.781","36.5667","0.9988","-3.584","90.11565","true","0.214","true","3.0","11.0","false",
"F5","38","ACTIN","1.424","Amp","UNKNOWN","16.193","16.888","0.983","483767.94","340911.12","202030.03","36.5667","0.9988","-3.584","90.11565","true","0.214","true","3.0","11.0","false",
"F6","39","ACTIN","1.421","Amp","UNKNOWN","15.148","15.29","0.201","946527.7","867603.94","111615.05","36.5667","0.9988","-3.584","90.11565","true","0.214","true","3.0","10.0","false",
