# Experiment File Name : 20180714_Burnham_PlantTrans2_HBcolonyCheck.eds
# Created By :alexburn17@gmail.com
# Last Modified Date : 2018-07-28 08:08:16 AM
# Instrument Type : StepOnePlus System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","ML","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"A2","MR","DWV","1.128","No Amp","UNKNOWN","35.795","36.614","1.159","0.691","0.465","0.319","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","33.0","false",
"A3","RS","DWV","1.301","Amp","UNKNOWN","31.903","32.656","1.064","8.575","5.907","3.774","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","29.0","false",
"A4","NUC","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"A5","G-Block","DWV","1.328","Amp","UNKNOWN","28.529","28.529","-","76.233","76.233","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","25.0","false",
"B1","ML","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"B2","MR","DWV","0.954","No Amp","UNKNOWN","37.434","36.614","1.159","0.239","0.465","0.319","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","34.0","false",
"B3","RS","DWV","1.299","Amp","UNKNOWN","33.408","32.656","1.064","3.239","5.907","3.774","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","30.0","false",
"B4","NUC","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"B5","No Sample","DWV","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","35.2228","0.993","-3.5567","91.05548","true","0.04","true","3.0","39.0","false",
"C1","ML","BQCV","1.325","Amp","UNKNOWN","15.554","15.555","0.001","391977.75","391706.5","383.606","34.8074","0.9981","-3.4422","95.21442","true","0.112","true","3.0","11.0","false",
"C2","MR","BQCV","1.324","Amp","UNKNOWN","23.681","23.651","0.042","1707.385","1742.225","49.271","34.8074","0.9981","-3.4422","95.21442","true","0.112","true","3.0","19.0","false",
"C3","RS","BQCV","1.317","Amp","UNKNOWN","25.050","25.141","0.129","683.395","644.164","55.481","34.8074","0.9981","-3.4422","95.21442","true","0.112","true","3.0","20.0","false",
"C4","NUC","BQCV","1.323","Amp","UNKNOWN","22.228","22.09","0.194","4514.217","4969.828","644.331","34.8074","0.9981","-3.4422","95.21442","true","0.112","true","3.0","17.0","false",
"C5","G-Block","BQCV","1.348","Amp","UNKNOWN","30.443","30.443","-","18.537","18.537","-","34.8074","0.9981","-3.4422","95.21442","true","0.112","true","3.0","26.0","false",
"D1","ML","BQCV","1.327","Amp","UNKNOWN","15.556","15.555","0.001","391435.25","391706.5","383.606","34.8074","0.9981","-3.4422","95.21442","true","0.112","true","3.0","11.0","false",
"D2","MR","BQCV","1.326","Amp","UNKNOWN","23.621","23.651","0.042","1777.065","1742.225","49.271","34.8074","0.9981","-3.4422","95.21442","true","0.112","true","3.0","19.0","false",
"D3","RS","BQCV","1.313","Amp","UNKNOWN","25.232","25.141","0.129","604.933","644.164","55.481","34.8074","0.9981","-3.4422","95.21442","true","0.112","true","3.0","21.0","false",
"D4","NUC","BQCV","1.335","Amp","UNKNOWN","21.953","22.09","0.194","5425.439","4969.828","644.331","34.8074","0.9981","-3.4422","95.21442","true","0.112","true","3.0","17.0","false",
"D5","No Sample","BQCV","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","34.8074","0.9981","-3.4422","95.21442","true","0.112","true","3.0","39.0","false",
"E1","ML","IAPV","0.0","No Amp","UNKNOWN","Undetermined","-","-","3.5337269E10","-","-","36.7574","0.9983","-3.5795","90.26926","true","0.222","true","3.0","39.0","false",
"E2","MR","IAPV","0.0","No Amp","UNKNOWN","Undetermined","-","-","3.5337269E10","-","-","36.7574","0.9983","-3.5795","90.26926","true","0.222","true","3.0","39.0","false",
"E3","RS","IAPV","0.0","No Amp","UNKNOWN","Undetermined","-","-","3.5337269E10","-","-","36.7574","0.9983","-3.5795","90.26926","true","0.222","true","3.0","39.0","false",
"E4","NUC","IAPV","0.0","No Amp","UNKNOWN","Undetermined","-","-","3.5337269E10","-","-","36.7574","0.9983","-3.5795","90.26926","true","0.222","true","3.0","39.0","false",
"E5","G-Block","IAPV","1.396","Amp","UNKNOWN","31.193","31.193","-","35.848","35.848","-","36.7574","0.9983","-3.5795","90.26926","true","0.222","true","3.0","25.0","false",
"F1","ML","IAPV","0.0","No Amp","UNKNOWN","Undetermined","-","-","3.5337269E10","-","-","36.7574","0.9983","-3.5795","90.26926","true","0.222","true","3.0","39.0","false",
"F2","MR","IAPV","0.0","No Amp","UNKNOWN","Undetermined","-","-","3.5337269E10","-","-","36.7574","0.9983","-3.5795","90.26926","true","0.222","true","3.0","39.0","false",
"F3","RS","IAPV","0.0","No Amp","UNKNOWN","Undetermined","-","-","3.5337269E10","-","-","36.7574","0.9983","-3.5795","90.26926","true","0.222","true","3.0","39.0","false",
"F4","NUC","IAPV","0.0","No Amp","UNKNOWN","Undetermined","-","-","3.5337269E10","-","-","36.7574","0.9983","-3.5795","90.26926","true","0.222","true","3.0","39.0","false",
"F5","No Sample","IAPV","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","36.7574","0.9983","-3.5795","90.26926","true","0.222","true","3.0","39.0","false",
"G1","ML","ACTIN","1.4","Amp","UNKNOWN","17.282","17.385","0.145","240277.44","225414.23","21019.748","36.5667","0.9988","-3.584","90.11565","true","0.207","true","3.0","12.0","false",
"G2","MR","ACTIN","1.42","Amp","UNKNOWN","17.055","17.006","0.07","278082.28","287154.22","12829.648","36.5667","0.9988","-3.584","90.11565","true","0.207","true","3.0","12.0","false",
"G3","RS","ACTIN","1.417","Amp","UNKNOWN","17.015","17.041","0.036","285267.16","280669.22","6502.496","36.5667","0.9988","-3.584","90.11565","true","0.207","true","3.0","11.0","false",
"G4","NUC","ACTIN","1.419","Amp","UNKNOWN","16.846","16.946","0.142","318102.22","298811.4","27281.332","36.5667","0.9988","-3.584","90.11565","true","0.207","true","3.0","12.0","false",
"G5","G-Block","ACTIN","1.418","Amp","UNKNOWN","30.502","30.502","-","49.218","49.218","-","36.5667","0.9988","-3.584","90.11565","true","0.207","true","3.0","25.0","false",
"H1","ML","ACTIN","1.409","Amp","UNKNOWN","17.488","17.385","0.145","210551.02","225414.23","21019.748","36.5667","0.9988","-3.584","90.11565","true","0.207","true","3.0","12.0","false",
"H2","MR","ACTIN","1.418","Amp","UNKNOWN","16.956","17.006","0.07","296226.12","287154.22","12829.648","36.5667","0.9988","-3.584","90.11565","true","0.207","true","3.0","11.0","false",
"H3","RS","ACTIN","1.418","Amp","UNKNOWN","17.066","17.041","0.036","276071.25","280669.22","6502.496","36.5667","0.9988","-3.584","90.11565","true","0.207","true","3.0","11.0","false",
"H4","NUC","ACTIN","1.414","Amp","UNKNOWN","17.047","16.946","0.142","279520.6","298811.4","27281.332","36.5667","0.9988","-3.584","90.11565","true","0.207","true","3.0","12.0","false",
"H5","No Sample","ACTIN","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","36.5667","0.9988","-3.584","90.11565","true","0.207","true","3.0","39.0","false",

