# Experiment File Name : 20180718_Burnham_TempVar_106-117_B1-B4_Run22eds.eds
# Created By :alexburn17@gmail.com
# Last Modified Date : 2018-07-28 08:08:17 AM
# Instrument Type : StepOnePlus System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","106","DWV","1.298","Amp","UNKNOWN","32.166","33.068","1.276","7.237","4.744","3.526","35.2228","0.993","-3.5567","91.05548","true","0.052","true","3.0","29.0","false",
"A2","107","DWV","0.47","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.052","true","3.0","35.0","false",
"A3","108","DWV","1.31","Amp","UNKNOWN","30.923","31.801","1.243","16.183","10.684","7.776","35.2228","0.993","-3.5567","91.05548","true","0.052","true","3.0","27.0","false",
"A4","109","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.052","true","3.0","39.0","false",
"A5","110","DWV","1.315","Amp","UNKNOWN","27.837","27.803","0.049","119.267","121.995","3.857","35.2228","0.993","-3.5567","91.05548","true","0.052","true","3.0","24.0","false",
"A6","111","DWV","1.316","Amp","UNKNOWN","28.707","28.275","0.612","67.913","93.409","36.057","35.2228","0.993","-3.5567","91.05548","true","0.052","true","3.0","25.0","false",
"A7","112","DWV","1.331","Amp","UNKNOWN","32.893","31.641","1.77","4.52","13.685","12.962","35.2228","0.993","-3.5567","91.05548","true","0.052","true","3.0","29.0","false",
"A8","113","DWV","1.32","Amp","UNKNOWN","31.853","31.936","0.117","8.861","8.41","0.638","35.2228","0.993","-3.5567","91.05548","true","0.052","true","3.0","28.0","false",
"A9","114","DWV","1.324","Amp","UNKNOWN","27.104","27.471","0.519","191.781","155.5","51.309","35.2228","0.993","-3.5567","91.05548","true","0.052","true","3.0","23.0","false",
"A10","115","DWV","1.329","Amp","UNKNOWN","30.776","31.813","1.466","17.79","11.218","9.294","35.2228","0.993","-3.5567","91.05548","true","0.052","true","3.0","27.0","false",
"A11","116","DWV","1.33","Amp","UNKNOWN","26.288","26.45","0.23","325.215","294.347","43.655","35.2228","0.993","-3.5567","91.05548","true","0.052","true","3.0","23.0","false",
"A12","117","DWV","0.907","No Amp","UNKNOWN","38.219","35.709","3.55","0.144","1.926","2.52","35.2228","0.993","-3.5567","91.05548","true","0.052","true","3.0","35.0","false",
"B1","106","DWV","1.341","Amp","UNKNOWN","33.970","33.068","1.276","2.25","4.744","3.526","35.2228","0.993","-3.5567","91.05548","true","0.052","true","3.0","30.0","false",
"B2","107","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.052","true","3.0","39.0","false",
"B3","108","DWV","1.313","Amp","UNKNOWN","32.680","31.801","1.243","5.186","10.684","7.776","35.2228","0.993","-3.5567","91.05548","true","0.052","true","3.0","29.0","false",
"B4","109","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.052","true","3.0","39.0","false",
"B5","110","DWV","1.284","Amp","UNKNOWN","27.768","27.803","0.049","124.722","121.995","3.857","35.2228","0.993","-3.5567","91.05548","true","0.052","true","3.0","24.0","false",
"B6","111","DWV","1.334","Amp","UNKNOWN","27.842","28.275","0.612","118.905","93.409","36.057","35.2228","0.993","-3.5567","91.05548","true","0.052","true","3.0","24.0","false",
"B7","112","DWV","1.326","Amp","UNKNOWN","30.390","31.641","1.77","22.851","13.685","12.962","35.2228","0.993","-3.5567","91.05548","true","0.052","true","3.0","27.0","false",
"B8","113","DWV","1.322","Amp","UNKNOWN","32.019","31.936","0.117","7.96","8.41","0.638","35.2228","0.993","-3.5567","91.05548","true","0.052","true","3.0","28.0","false",
"B9","114","DWV","1.327","Amp","UNKNOWN","27.838","27.471","0.519","119.219","155.5","51.309","35.2228","0.993","-3.5567","91.05548","true","0.052","true","3.0","24.0","false",
"B10","115","DWV","1.343","Amp","UNKNOWN","32.850","31.813","1.466","4.647","11.218","9.294","35.2228","0.993","-3.5567","91.05548","true","0.052","true","3.0","29.0","false",
"B11","116","DWV","1.325","Amp","UNKNOWN","26.613","26.45","0.23","263.478","294.347","43.655","35.2228","0.993","-3.5567","91.05548","true","0.052","true","3.0","23.0","false",
"B12","117","DWV","1.281","Amp","UNKNOWN","33.198","35.709","3.55","3.708","1.926","2.52","35.2228","0.993","-3.5567","91.05548","true","0.052","true","3.0","30.0","false",
"C1","106","BQCV","1.337","Amp","UNKNOWN","28.574","28.777","0.287","64.683","57.003","10.861","34.8074","0.9981","-3.4422","95.21442","true","0.128","true","3.0","24.0","false",
