# Experiment File Name : 20180813_Burnham_TempVar_49-62_Corgi2_Run16.eds
# Created By :alexburn17@gmail.com
# Last Modified Date : 2018-07-28 08:08:17 AM
# Instrument Type : StepOnePlus System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","49","DWV","1.311","Amp","UNKNOWN","32.725","34.103","1.949","5.038","2.942","2.965","35.2228","0.993","-3.5567","91.05548","true","0.045","true","3.0","29.0","false",
"A2","50","DWV","1.313","Amp","UNKNOWN","31.949","31.543","0.575","8.324","11.208","4.079","35.2228","0.993","-3.5567","91.05548","true","0.045","true","3.0","29.0","false",
"A3","51","DWV","1.337","Amp","UNKNOWN","28.772","28.542","0.325","65.105","76.389","15.959","35.2228","0.993","-3.5567","91.05548","true","0.045","true","3.0","25.0","false",
"A4","52","DWV","1.33","Amp","UNKNOWN","30.306","30.081","0.318","24.115","28.193","5.767","35.2228","0.993","-3.5567","91.05548","true","0.045","true","3.0","27.0","false",
"A5","53","DWV","1.335","Amp","UNKNOWN","28.220","27.937","0.4","93.101","113.679","29.1","35.2228","0.993","-3.5567","91.05548","true","0.045","true","3.0","25.0","false",
"A6","54","DWV","0.0","No Amp","UNKNOWN","Undetermined","-","-","1.52891873E10","-","-","35.2228","0.993","-3.5567","91.05548","true","0.045","true","3.0","39.0","false",
"A7","55","DWV","1.324","Amp","UNKNOWN","28.607","28.59","0.023","72.475","73.255","1.103","35.2228","0.993","-3.5567","91.05548","true","0.045","true","3.0","25.0","false",
"A8","56","DWV","0.0","No Amp","UNKNOWN","Undetermined","35.253","-","1.52891873E10","0.98","-","35.2228","0.993","-3.5567","91.05548","true","0.045","true","3.0","39.0","false",
"A9","57","DWV","1.302","Amp","UNKNOWN","29.565","29.485","0.114","38.961","41.099","3.024","35.2228","0.993","-3.5567","91.05548","true","0.045","true","3.0","26.0","false",
"A10","58","DWV","1.321","Amp","UNKNOWN","30.604","30.117","0.689","19.892","28.628","12.354","35.2228","0.993","-3.5567","91.05548","true","0.045","true","3.0","27.0","false",
"A11","59","DWV","1.298","Amp","UNKNOWN","30.164","29.793","0.524","26.451","34.585","11.503","35.2228","0.993","-3.5567","91.05548","true","0.045","true","3.0","27.0","false",
"A12","60","DWV","1.33","Amp","UNKNOWN","25.634","25.66","0.037","496.563","488.27","11.727","35.2228","0.993","-3.5567","91.05548","true","0.045","true","3.0","22.0","false",
