FieldID,Site,Date,BombusSpp,Host_Plant,Caste,Notes,1HR_sample,sampling_event
1,CIND,5/9,imp,dand,queen ,,no,1
2,CIND,5/9,imp,dand,queen ,,yes,1
3,CIND,5/9,imp,dand,queen ,,yes,1
4,CIND,5/9,imp,dand,queen ,,yes,1
5,CIND,5/9,imp,flying,queen ,,no,1
6,CIND,5/9,imp,dand,queen ,,yes,1
7,CIND,5/9,imp,dand,queen ,,yes,1
8,CIND,5/9,imp,dand,queen ,,yes,1
9,CIND,5/9,imp,dand,queen ,died in vial,no,1
10,CIND,5/9,imp,dand,queen ,,yes,1
11,CIND,5/9,imp,dand,queen ,,yes,1
12,CIND,5/9,imp,dand,queen ,,yes,1
13,CIND,5/9,imp,dand,queen ,,no,1
14,CIND,5/9,imp,dand,queen ,,no,1
15,CIND,5/9,bimac,dand,queen ,,no,1
16,CIND,5/9,imp,dand,queen ,,no,1
17,CIND,5/9,bimac,flying,queen ,,no,1
18,CIND,5/9,bimac,flying,queen ,,no,1
19,CIND,5/9,imp,flying,queen ,,no,1
20,CIND,5/9,bimac,dand,queen ,,no,1
21,CIND,5/9,imp,dand,queen ,,no,1
22,CIND,5/9,imp,dand,queen ,,no,1
23,CIND,5/9,bimac,dand,queen ,,no,1
24,CIND,5/9,imp,dand,queen ,,no,1
25,CIND,5/9,bimac,dand,queen ,,no,1
26,CIND,5/9,imp,dand,queen ,,no,1
27,CIND,5/9,tern,dand,queen ,,no,1
28,CIND,5/9,bimac,dand,queen ,,no,1
29,CIND,5/9,bimac,dand,queen ,,no,1
30,CIND,5/9,imp,flying,queen ,,no,1
31,CIND,5/9,imp,flying,queen ,,no,1
32,CIND,5/9,bimac,dand,queen ,,no,1
33,CIND,5/9,tern,dand,queen ,,no,1
34,CIND,5/9,bimac,dand,queen ,,no,1
1,BOST,5/17,imp,dand,queen ,,yes,1
2,BOST,5/17,imp,flying,queen ,,yes,1
3,BOST,5/17,imp,flying,queen ,,yes,1
4,BOST,5/17,imp,dand,queen ,,yes,1
5,BOST,5/17,imp,dand,queen ,,yes,1
6,BOST,5/17,imp,dand,queen ,,yes,1
7,BOST,5/17,imp,dand,queen ,,yes,1
8,BOST,5/17,imp,flying,queen ,,yes,1
9,BOST,5/17,imp,flying,queen ,,yes,1
10,BOST,5/17,imp,dand,queen ,,yes,1
11,BOST,5/17,bimac,violet ,queen ,,yes,1
12,BOST,5/17,imp,flying ,queen ,,no,1
13,BOST,5/17,imp,flying ,queen ,nest serching ,no,1
14,BOST,5/17,imp,flying ,queen ,,no,1
15,BOST,5/17,imp,flying ,queen ,,no,1
16,BOST,5/17,imp,flying ,queen ,,no,1
17,BOST,5/17,imp,dand,queen ,,no,1
18,BOST,5/17,ferv,grass,queen ,,no,1
19,BOST,5/17,imp,flying,queen ,,no,1
20,BOST,5/17,imp,flying,queen ,,no,1
21,BOST,5/17,bimac,flying,queen ,,no,1
22,BOST,5/17,imp,flying,queen ,,no,1
23,BOST,5/17,bimac,dand,queen ,,no,1
24,BOST,5/17,imp,flying,queen ,,no,1
25,BOST,5/17,imp,flying,queen ,,no,1
26,BOST,5/17,imp,flying,queen ,,no,1
27,BOST,5/17,imp,flying,queen ,,no,1
28,BOST,5/17,bimac,grass,queen ,,no,1
29,BOST,5/17,tern,dand,queen ,,no,1
30,BOST,5/17,bimac,flying,queen ,,no,1
31,BOST,5/17,imp,dand,queen ,,no,1
32,BOST,5/17,imp,flying,queen ,,no,1
33,BOST,5/17,tern,dand,queen ,,no,1
34,BOST,5/17,imp,flying,queen ,,no,1
35,BOST,5/17,bimac,grass,queen ,,no,1
36,BOST,5/17,bimac,flying,queen ,,no,1
37,BOST,5/17,imp,flying,queen ,,no,1
38,BOST,5/17,imp,flying,queen ,,no,1
39,BOST,5/17,bimac,flying,queen ,,no,1
40,BOST,5/17,imp,flying,queen ,,no,1
41,BOST,5/17,imp,flying,queen ,,no,1
42,BOST,5/17,bimac,dand,queen ,,no,1
1,FLAN,5/17,imp,dand,queen ,,yes,1
2,FLAN,5/17,imp,dand,queen ,,yes,1
3,FLAN,5/17,imp,dand,queen ,,yes,1
4,FLAN,5/17,imp,flying,queen ,,yes,1
5,FLAN,5/17,imp,flying,queen ,,yes,1
6,FLAN,5/17,vag,dand,queen ,,no,1
7,FLAN,5/17,bimac,flying,queen ,,no,1
8,FLAN,5/17,imp,flying,queen ,,no,1
9,FLAN,5/17,tern,flying,queen ,,no,1
10,FLAN,5/17,vag,crabapple ,queen ,,no,1
11,FLAN,5/17,bimac,flying,queen ,,no,1
12,FLAN,5/17,imp,dand,queen ,,no,1
13,FLAN,5/17,imp,flying,queen ,,no,1
14,FLAN,5/17,bimac,violet ,queen ,,no,1
15,FLAN,5/17,bimac,grass,queen ,,no,1
16,FLAN,5/17,bimac,grass,queen ,,no,1
17,FLAN,5/17,imp,mint,queen ,,no,1
18,FLAN,5/17,imp,violet ,queen ,,no,1
19,FLAN,5/17,imp,woody yellow ,queen ,,no,1
20,FLAN,5/17,bimac,violet ,queen ,,no,1
